Date,bitcoin,prediccion_f1v5n2e20
2018-05-01,9119.01,7508.202
2018-05-02,9235.92,7511.7256
2018-05-03,9743.86,7598.748
2018-05-04,9700.76,7695.892
2018-05-05,9858.15,7752.4917
2018-05-06,9654.8,7862.725
2018-05-07,9373.01,7968.3643
2018-05-08,9234.82,7955.3955
2018-05-09,9325.18,7799.7812
2018-05-10,9043.94,7588.947
2018-05-11,8441.49,7290.461
2018-05-12,8504.89,6660.051
2018-05-13,8723.94,6299.041
2018-05-14,8716.79,6176.5605
2018-05-15,8510.38,6114.6826
2018-05-16,8368.83,6000.071
2018-05-17,8094.32,6028.8076
2018-05-18,8250.97,5833.0425
2018-05-19,8247.18,5792.682
2018-05-20,8513.25,5748.815
2018-05-21,8418.99,5812.88
2018-05-22,8041.78,5806.5977
2018-05-23,7557.82,5728.61
2018-05-24,7587.34,5523.1045
2018-05-25,7480.14,5461.4277
