Date,bitcoin,prediccion_f7v7n2e20
2018-05-09,9325.18,8455.1875
2018-05-10,9043.94,8383.247
2018-05-11,8441.49,8359.534
2018-05-12,8504.89,8337.607
2018-05-13,8723.94,8389.309
2018-05-14,8716.79,8380.35
2018-05-15,8510.38,8301.341
2018-05-16,8368.83,8230.786
2018-05-17,8094.32,8203.062
2018-05-18,8250.97,7952.5396
2018-05-19,8247.18,7928.6416
2018-05-20,8513.25,7924.607
2018-05-21,8418.99,7904.5303
2018-05-22,8041.78,7844.522
2018-05-23,7557.82,7834.6846
2018-05-24,7587.34,7715.272
2018-05-25,7480.14,7758.853
