Date,bitcoin,prediccion_f5v2n2e20
2018-05-02,9235.92,4840.5913
2018-05-03,9743.86,4913.4243
2018-05-04,9700.76,4988.554
2018-05-05,9858.15,5003.7944
2018-05-06,9654.8,5008.5557
2018-05-07,9373.01,4998.0605
2018-05-08,9234.82,5157.3906
2018-05-09,9325.18,5202.773
2018-05-10,9043.94,5160.6387
2018-05-11,8441.49,5329.2754
2018-05-12,8504.89,5262.901
2018-05-13,8723.94,5115.1426
2018-05-14,8716.79,5069.377
2018-05-15,8510.38,4899.941
2018-05-16,8368.83,4692.5854
2018-05-17,8094.32,4762.9497
2018-05-18,8250.97,4787.1807
2018-05-19,8247.18,4818.6646
2018-05-20,8513.25,4790.1284
2018-05-21,8418.99,4731.326
2018-05-22,8041.78,4636.9194
2018-05-23,7557.82,4711.0513
2018-05-24,7587.34,4703.191
2018-05-25,7480.14,4715.2007
