Date,bitcoin,prediccion_f1v5n2e20
2018-05-01,9119.01,7352.521
2018-05-02,9235.92,7280.2383
2018-05-03,9743.86,7322.146
2018-05-04,9700.76,7826.32
2018-05-05,9858.15,8039.296
2018-05-06,9654.8,8301.279
2018-05-07,9373.01,8285.057
2018-05-08,9234.82,8098.2183
2018-05-09,9325.18,8202.393
2018-05-10,9043.94,8563.613
2018-05-11,8441.49,8435.29
2018-05-12,8504.89,8976.11
2018-05-13,8723.94,9172.299
2018-05-14,8716.79,9371.009
2018-05-15,8510.38,9467.967
2018-05-16,8368.83,9576.289
2018-05-17,8094.32,9414.754
2018-05-18,8250.97,9613.405
2018-05-19,8247.18,9684.115
2018-05-20,8513.25,9648.134
2018-05-21,8418.99,9694.985
2018-05-22,8041.78,9575.585
2018-05-23,7557.82,9151.859
2018-05-24,7587.34,8552.1
2018-05-25,7480.14,8219.224
