Date,bitcoin,holt_1_exp,holt_2_exp,holt_5_exp,holt_7_exp
2018-04-26,9281.51,8848.272723519185,9994.793142736844,8987.41397261979,9068.466523326404
2018-04-27,8987.05,9280.75404853705,8848.272723519185,9193.138273426015,8808.878249433175
2018-04-28,9348.48,9403.6367064778,9280.75404853705,9293.05085135211,8987.41397261979
2018-04-29,9419.08,9667.686458507333,9403.6367064778,9994.793142736844,9193.138273426015
2018-04-30,9240.55,9434.265279417092,9667.686458507333,8848.272723519185,9293.05085135211
2018-05-01,9119.01,9409.089659481231,9434.265279417092,9280.75404853705,9994.793142736844
2018-05-02,9235.92,8916.619253678553,9409.089659481231,9403.6367064778,8848.272723519185
2018-05-03,9743.86,9042.72723900174,8916.619253678553,9667.686458507333,9280.75404853705
2018-05-04,9700.76,9894.109570007478,9042.72723900174,9434.265279417092,9403.6367064778
2018-05-05,9858.15,9434.497049438549,9894.109570007478,9409.089659481231,9667.686458507333
2018-05-06,9654.8,9679.50761051497,9434.497049438549,8916.619253678553,9434.265279417092
2018-05-07,9373.01,10169.429054657478,9679.50761051497,9042.72723900174,9409.089659481231
2018-05-08,9234.82,9252.64317088381,10169.429054657478,9894.109570007478,8916.619253678553
2018-05-09,9325.18,9422.558340806494,9252.64317088381,9434.497049438549,9042.72723900174
2018-05-10,9043.94,9433.747619428896,9422.558340806494,9679.50761051497,9894.109570007478
2018-05-11,8441.49,8756.695292976936,9433.747619428896,10169.429054657478,9434.497049438549
2018-05-12,8504.89,7984.652937518096,8756.695292976936,9252.64317088381,9679.50761051497
2018-05-13,8723.94,8148.811718001058,7984.652937518096,9422.558340806494,10169.429054657478
2018-05-14,8716.79,8616.791115417096,8148.811718001058,9433.747619428896,9252.64317088381
2018-05-15,8510.38,9086.465364690046,8616.791115417096,8756.695292976936,9422.558340806494
2018-05-16,8368.83,7874.842136952799,9086.465364690046,7984.652937518096,9433.747619428896
2018-05-17,8094.32,8226.955690332265,7874.842136952799,8148.811718001058,8756.695292976936
2018-05-18,8250.97,7862.691494948561,8226.955690332265,8616.791115417096,7984.652937518096
2018-05-19,8247.18,7892.443476196058,7862.691494948561,9086.465364690046,8148.811718001058
2018-05-20,8513.25,8641.469476710796,7892.443476196058,7874.842136952799,8616.791115417096
2018-05-21,8418.99,8249.490630379438,8641.469476710796,8226.955690332265,9086.465364690046
2018-05-22,8041.78,8121.791737505787,8249.490630379438,7862.691494948561,7874.842136952799
2018-05-23,7557.82,8125.58355803931,8121.791737505787,7892.443476196058,8226.955690332265
2018-05-24,7587.34,7840.925976969838,8125.58355803931,8641.469476710796,7862.691494948561
2018-05-25,7480.14,7769.17780719138,7840.925976969838,8249.490630379438,7892.443476196058
