Simulacion,RMSE (1),RMSE (2),RMSE (3),RMSE (General)
alfa 0.1,795.4992873822547,3054.043433428284,795.9922632724082,1879.1491064381266
alfa 0.2,670.8114231899561,2713.6290064069563,660.3038982031388,1658.2894387367564
alfa 0.3,618.2824641646536,2587.0121884777914,673.9090561627831,1584.1989232000274
alfa 0.4,583.3010575825724,2535.806067165781,696.614317581379,1555.187452957692
alfa 0.5,556.0259303293974,2521.7046576032535,706.7545438961374,1545.7103222245375
alfa 0.6,534.1562655282735,2526.840134865921,705.6726201105951,1545.7703397708738
alfa 0.7,516.6365219549946,2542.1079469142865,696.7835504672186,1550.7775926702304
alfa 0.8,502.60815845604174,2562.7764412064457,683.50516437904,1558.5909617645214
alfa 0.9,491.3191511083183,2586.3496406958616,669.6273584885415,1568.3324234580873
