Date,bitcoin,promedio_1,promedio_2,promedio_5,promedio_7
2018-04-26,9281.51,5433.456479166667,5426.332713987475,5402.904474789916,5388.272405063291
2018-04-27,8987.05,5441.456590436591,5433.456479166667,5410.031425576521,5395.551473684211
2018-04-28,9348.48,5448.812593360995,5441.456590436591,5417.397217573222,5402.904474789916
2018-04-29,9419.08,5456.886438923396,5448.812593360995,5426.332713987475,5410.031425576521
2018-04-30,9240.55,5465.072789256199,5456.886438923396,5433.456479166667,5417.397217573222
2018-05-01,9119.01,5472.857278350516,5465.072789256199,5441.456590436591,5426.332713987475
2018-05-02,9235.92,5480.359650205762,5472.857278350516,5448.812593360995,5433.456479166667
2018-05-03,9743.86,5488.071273100616,5480.359650205762,5456.886438923396,5441.456590436591
2018-05-04,9700.76,5496.792151639345,5488.071273100616,5465.072789256199,5448.812593360995
2018-05-05,9858.15,5505.389222903886,5496.792151639345,5472.857278350516,5456.886438923396
2018-05-06,9654.8,5514.272408163266,5505.389222903886,5480.359650205762,5465.072789256199
2018-05-07,9373.01,5522.705254582485,5514.272408163266,5488.071273100616,5472.857278350516
2018-05-08,9234.82,5530.5310772357725,5522.705254582485,5496.792151639345,5480.359650205762
2018-05-09,9325.18,5538.044847870183,5530.5310772357725,5505.389222903886,5488.071273100616
2018-05-10,9043.94,5545.711113360324,5538.044847870183,5514.272408163266,5496.792151639345
2018-05-11,8441.49,5552.778242424243,5545.711113360324,5522.705254582485,5505.389222903886
2018-05-12,8504.89,5558.602258064517,5552.778242424243,5530.5310772357725,5514.272408163266
2018-05-13,8723.94,5564.530402414487,5558.602258064517,5538.044847870183,5522.705254582485
2018-05-14,8716.79,5570.874598393574,5564.530402414487,5545.711113360324,5530.5310772357725
2018-05-15,8510.38,5577.179038076152,5570.874598393574,5552.778242424243,5538.044847870183
2018-05-16,8368.83,5583.045440000001,5577.179038076152,5558.602258064517,5545.711113360324
2018-05-17,8094.32,5588.605888223553,5583.045440000001,5564.530402414487,5552.778242424243
2018-05-18,8250.97,5593.59735059761,5588.605888223553,5570.874598393574,5558.602258064517
2018-05-19,8247.18,5598.880397614314,5593.59735059761,5577.179038076152,5564.530402414487
2018-05-20,8513.25,5604.13496031746,5598.880397614314,5583.045440000001,5570.874598393574
2018-05-21,8418.99,5609.895584158416,5604.13496031746,5588.605888223553,5577.179038076152
2018-05-22,8041.78,5615.447154150197,5609.895584158416,5593.59735059761,5583.045440000001
2018-05-23,7557.82,5620.232820512821,5615.447154150197,5598.880397614314,5588.605888223553
2018-05-24,7587.34,5624.046968503937,5620.232820512821,5604.13496031746,5593.59735059761
2018-05-25,7480.14,5627.904125736739,5624.046968503937,5609.895584158416,5598.880397614314
