Simulacion,RMSE (1),RMSE (2),RMSE (3),RMSE (General)
holt lineal alfa 0.7 beta 0.5,1114.1803793452168,3672.6106054061584,486.75220010889484,2233.561750580635
holt lineal alfa 0.7 beta 0.6,1252.400909281744,4574.32580300213,832.6479471620569,2780.0639796890773
holt lineal alfa 0.7 beta 0.7,1339.1193982613468,5399.539865692312,1575.5026915527442,3338.1871454973043
holt lineal alfa 0.7 beta 0.8,1384.639163347162,6140.132371241392,2372.578658378348,3883.6229064810764
holt lineal alfa 0.7 beta 0.9,1399.7835300726192,6803.40738242545,3211.354164675221,4418.089387705979
holt lineal alfa 0.8 beta 0.1,274.7894635076557,1397.5590696856307,1863.3271052818034,1354.0886854010284
holt lineal alfa 0.8 beta 0.2,484.8533340807722,1615.9480667183382,1738.8568040601729,1398.808289810334
holt lineal alfa 0.8 beta 0.3,720.9410081520446,2261.377587879934,1086.0508446272718,1506.9938032737632
holt lineal alfa 0.8 beta 0.4,938.2835552295321,3171.9644396252265,514.7021229360125,1932.7573318634688
holt lineal alfa 0.8 beta 0.5,1106.569168146832,4140.320736124818,982.8651154148131,2538.5543758195463
holt lineal alfa 0.8 beta 0.6,1221.0499666280832,5061.9884075202535,1944.2998827458284,3209.101208174303
holt lineal alfa 0.8 beta 0.7,1289.8340038865347,5905.509632359563,3029.059681632227,3903.5846060752706
holt lineal alfa 0.8 beta 0.8,1324.7679553833284,6672.216815135023,4224.555261254033,4623.143033304299
holt lineal alfa 0.8 beta 0.9,1337.3503802280488,7375.925192347816,5565.594755350871,5390.381046005202
holt lineal alfa 0.9 beta 0.1,290.6373864254336,1485.907700426888,1647.9788312697704,1292.0559860018202
holt lineal alfa 0.9 beta 0.2,511.6553405341797,1818.833080011823,1347.5483574083114,1339.879538863635
holt lineal alfa 0.9 beta 0.3,742.0373841585914,2577.894930771296,625.2133214513008,1590.2885954972069
holt lineal alfa 0.9 beta 0.4,943.5746422983186,3555.678238384049,953.0404549220831,2194.042460028549
holt lineal alfa 0.9 beta 0.5,1094.4411955090052,4563.0118411211,2099.002517303461,2967.8662458790614
holt lineal alfa 0.9 beta 0.6,1195.6056342951238,5516.546514940001,3450.2306478521077,3819.5047588063417
holt lineal alfa 0.9 beta 0.7,1257.9397526346306,6396.521133794691,4969.8675406697785,4732.775028393091
holt lineal alfa 0.9 beta 0.8,1294.2753832864355,7209.555431865908,6679.578418184304,5723.332541378377
holt lineal alfa 0.9 beta 0.9,1316.0670087563342,7970.228951308584,8608.317566869411,6815.661211256687
