Date,bitcoin,promedio_1_movil_10,promedio_1_movil_60,promedio_2_movil_10,promedio_2_movil_60,promedio_5_movil_10,promedio_5_movil_60,promedio_7_movil_10,promedio_7_movil_60
2018-04-26,9281.51,8643.647999999992,8602.390500000003,8591.984999999991,8618.512666666671,8226.045999999993,8677.940333333338,7832.212999999993,8759.40016666667
2018-04-27,8987.05,8765.931999999992,8596.003500000003,8643.647999999992,8602.390500000003,8317.366999999993,8646.47466666667,8033.319999999994,8719.742333333337
2018-04-28,9348.48,8874.427999999993,8573.009333333337,8765.931999999992,8596.003500000003,8420.858999999993,8628.57266666667,8226.045999999993,8677.940333333338
2018-04-29,9419.08,8992.933999999992,8550.057333333338,8874.427999999993,8573.009333333337,8591.984999999991,8618.512666666671,8317.366999999993,8646.47466666667
2018-04-30,9240.55,9105.410999999993,8533.74366666667,8992.933999999992,8550.057333333338,8643.647999999992,8602.390500000003,8420.858999999993,8628.57266666667
2018-05-01,9119.01,9144.882999999993,8505.236166666671,9105.410999999993,8533.74366666667,8765.931999999992,8596.003500000003,8591.984999999991,8618.512666666671
2018-05-02,9235.92,9167.225999999991,8472.446333333337,9144.882999999993,8505.236166666671,8874.427999999993,8573.009333333337,8643.647999999992,8602.390500000003
2018-05-03,9743.86,9210.571999999991,8434.883333333337,9167.225999999991,8472.446333333337,8992.933999999992,8550.057333333338,8765.931999999992,8596.003500000003
2018-05-04,9700.76,9291.869999999992,8405.404333333336,9210.571999999991,8434.883333333337,9105.410999999993,8533.74366666667,8874.427999999993,8573.009333333337
2018-05-05,9858.15,9292.19599999999,8374.195333333337,9291.869999999992,8405.404333333336,9144.882999999993,8505.236166666671,8992.933999999992,8550.057333333338
2018-05-06,9654.8,9393.436999999989,8358.832833333337,9292.19599999999,8374.195333333337,9167.225999999991,8472.446333333337,9105.410999999993,8533.74366666667
2018-05-07,9373.01,9430.76599999999,8353.653333333337,9393.436999999989,8358.832833333337,9210.571999999991,8434.883333333337,9144.882999999993,8505.236166666671
2018-05-08,9234.82,9469.36199999999,8353.28666666667,9430.76599999999,8353.653333333337,9291.869999999992,8405.404333333336,9167.225999999991,8472.446333333337
2018-05-09,9325.18,9457.995999999988,8351.574500000004,9469.36199999999,8353.28666666667,9292.19599999999,8374.195333333337,9210.571999999991,8434.883333333337
2018-05-10,9043.94,9448.605999999989,8359.227500000003,9457.995999999988,8351.574500000004,9393.436999999989,8358.832833333337,9291.869999999992,8405.404333333336
2018-05-11,8441.49,9428.944999999989,8350.316000000003,9448.605999999989,8359.227500000003,9430.76599999999,8353.653333333337,9292.19599999999,8374.195333333337
2018-05-12,8504.89,9361.19299999999,8337.588833333337,9428.944999999989,8350.316000000003,9469.36199999999,8353.28666666667,9393.436999999989,8358.832833333337
2018-05-13,8723.94,9288.089999999991,8326.089500000004,9361.19299999999,8337.588833333337,9457.995999999988,8351.574500000004,9430.76599999999,8353.653333333337
2018-05-14,8716.79,9186.09799999999,8333.658333333336,9288.089999999991,8326.089500000004,9448.605999999989,8359.227500000003,9469.36199999999,8353.28666666667
2018-05-15,8510.38,9087.70099999999,8340.590500000004,9186.09799999999,8333.658333333336,9428.944999999989,8350.316000000003,9457.995999999988,8351.574500000004
2018-05-16,8368.83,8952.923999999992,8343.45766666667,9087.70099999999,8340.590500000004,9361.19299999999,8337.588833333337,9448.605999999989,8359.227500000003
2018-05-17,8094.32,8824.326999999992,8350.990166666672,8952.923999999992,8343.45766666667,9288.089999999991,8326.089500000004,9428.944999999989,8350.316000000003
2018-05-18,8250.97,8696.457999999991,8348.834166666671,8824.326999999992,8350.990166666672,9186.09799999999,8333.658333333336,9361.19299999999,8337.588833333337
2018-05-19,8247.18,8598.072999999993,8342.50616666667,8696.457999999991,8348.834166666671,9087.70099999999,8340.590500000004,9288.089999999991,8326.089500000004
2018-05-20,8513.25,8490.272999999992,8331.401333333337,8598.072999999993,8342.50616666667,8952.923999999992,8343.45766666667,9186.09799999999,8333.658333333336
2018-05-21,8418.99,8437.203999999992,8324.467500000004,8490.272999999992,8331.401333333337,8824.326999999992,8350.990166666672,9087.70099999999,8340.590500000004
2018-05-22,8041.78,8434.953999999992,8319.309500000005,8437.203999999992,8324.467500000004,8696.457999999991,8348.834166666671,8952.923999999992,8343.45766666667
2018-05-23,7557.82,8388.642999999993,8305.345500000005,8434.953999999992,8319.309500000005,8598.072999999993,8342.50616666667,8824.326999999992,8350.990166666672
2018-05-24,7587.34,8272.030999999992,8286.840500000004,8388.642999999993,8305.345500000005,8490.272999999992,8331.401333333337,8696.457999999991,8348.834166666671
2018-05-25,7480.14,8159.08599999999,8271.699833333338,8272.030999999992,8286.840500000004,8437.203999999992,8324.467500000004,8598.072999999993,8342.50616666667
