Date,bitcoin,prediccion_f1v5n4e20
2018-05-01,9119.01,11043.851
2018-05-02,9235.92,10895.125
2018-05-03,9743.86,10933.125
2018-05-04,9700.76,11018.282
2018-05-05,9858.15,11046.217
2018-05-06,9654.8,11117.163
2018-05-07,9373.01,11113.936
2018-05-08,9234.82,11035.434
2018-05-09,9325.18,10890.155
2018-05-10,9043.94,10891.911
2018-05-11,8441.49,10633.226
2018-05-12,8504.89,10416.219
2018-05-13,8723.94,10224.433
2018-05-14,8716.79,10271.725
2018-05-15,8510.38,10362.523
2018-05-16,8368.83,10343.075
2018-05-17,8094.32,10236.844
2018-05-18,8250.97,10186.994
2018-05-19,8247.18,10198.516
2018-05-20,8513.25,10114.438
2018-05-21,8418.99,10170.594
2018-05-22,8041.78,10121.765
2018-05-23,7557.82,9715.776
2018-05-24,7587.34,9299.412
2018-05-25,7480.14,9030.886
