,Trends trend_ripple_loss,Trends trend_ripple_val_loss
0,0.013707392645635825,0.1801850155167196
1,0.006138286028785267,0.12958255478705483
2,0.005040439314091171,0.09881128285123014
3,0.006361911597865066,0.08553530532738259
4,0.0069996329324170095,0.0833436094823925
5,0.006556187552967291,0.08539911059812567
6,0.005816718252996604,0.08676979408181947
7,0.00519713571418248,0.08512952769624776
8,0.004732893215192632,0.0805762290269479
9,0.004388368700566734,0.07435257236162822
10,0.0041393085674586135,0.06790503294303499
11,0.003941160008503959,0.06212138393144498
12,0.0037378320020848305,0.057227140613671006
13,0.003496050090668188,0.05295387698316026
14,0.0032201234542968116,0.04887094519946767
15,0.0029332247808918186,0.04468061492360871
16,0.0026528976226075627,0.04032520179090829
17,0.002387910227601727,0.035915262911511564
18,0.002141441577167689,0.03167362391263589
19,0.0019036607211990945,0.027670959032129967
20,0.0016735431459871516,0.023921236524294162
21,0.0014535512202472865,0.020446945538466006
22,0.0012445656278962805,0.017228167889447046
23,0.001050772095880546,0.01427500213271585
24,0.0008749927523888476,0.011608761638916772
25,0.000718878875165407,0.00926793702803124
26,0.0005821240376734614,0.007264085520786801
27,0.0004638977396976331,0.005585286188228377
28,0.0003640703996108181,0.004209253348238851
29,0.0002821028371737606,0.0031143564452556357
30,0.00021637617121985847,0.0022661450971988425
31,0.00016557730382426116,0.0016369376165642478
32,0.0001271985496003609,0.0011869037614856985
33,9.905324242580896e-05,0.0008780865638313451
34,7.921803049173141e-05,0.0006766834539821606
35,6.575887695278693e-05,0.0005537738626148423
36,5.692906516146493e-05,0.0004846043750943466
37,5.137514004861165e-05,0.00045021249171367837
38,4.802051258049959e-05,0.0004367531898121039
39,4.608661448014311e-05,0.0004347892037871155
40,4.502261381485264e-05,0.0004382386218874191
41,4.446390202006689e-05,0.0004435219566455518
42,4.4185431217828275e-05,0.00044875545092676393
43,4.40533305203874e-05,0.0004531085938108207
44,4.399280145265237e-05,0.00045634601492670245
45,4.3964387207350894e-05,0.0004585516637715714
46,4.39493754014223e-05,0.0004599343265417492
47,4.393936644359117e-05,0.0004607131423685571
48,4.393131066222097e-05,0.00046108268942662525
49,4.392386480681491e-05,0.0004612018364941937
