,Criptos Close zcash_loss,Criptos Close zcash_val_loss
0,0.0012609442167628843,0.17953093923055208
1,0.0013314344788131376,0.1582562464934129
2,0.0016183106457062352,0.15192733819668108
3,0.001395055021230991,0.14749482044806847
4,0.0011747507020257986,0.1397792398929596
5,0.0010410359984514518,0.12954729795455933
6,0.000982534006023063,0.1194112770832502
7,0.000961559441818211,0.11091179801867558
8,0.0009260762173933192,0.1038708216868914
9,0.0008660318137397274,0.09729520059548892
10,0.0007986745488149329,0.09054373663205367
11,0.0007383780634532181,0.08361870279678932
12,0.0006877674089852148,0.07684854246102847
13,0.0006401951048666468,0.07040031254291534
14,0.0005906828524670205,0.06421855435921596
15,0.0005387848482664245,0.058175162627146795
16,0.0004877243862630656,0.05224037227722315
17,0.0004390924542139356,0.04649743265830553
18,0.00039321017818740354,0.041025228798389435
19,0.0003485914449601506,0.03585329136023155
20,0.0003054905134306934,0.030976453652748696
21,0.0002648424734406245,0.02643823795593702
22,0.00022695028187277226,0.022268148855521128
23,0.0001923761480541613,0.01849633254683935
24,0.00016072524242470256,0.015131147148517462
25,0.00013251478062906803,0.012183488991398077
26,0.00010785164452569846,0.009651286527514458
27,8.65648798935581e-05,0.007519418516984353
28,6.845358802820556e-05,0.005758906069856424
29,5.351773352930859e-05,0.004341677404367006
30,4.154137269114681e-05,0.0032319647904772023
31,3.200172907851923e-05,0.0023852439883809825
32,2.469311703652448e-05,0.0017577574874919194
33,1.9229284309683582e-05,0.0013080388486671906
34,1.5238877914760871e-05,0.0009965292142274289
35,1.239805505275189e-05,0.0007882770150899887
36,1.044865208454072e-05,0.0006551140328296102
37,9.138698767576268e-06,0.0005741406572409547
38,8.282918490574677e-06,0.0005278638787925816
39,7.740222792143379e-06,0.0005036874611575443
40,7.405334337398437e-06,0.000492798316722306
41,7.203432792616345e-06,0.0004893762614721289
42,7.0848015569096715e-06,0.0004897574052357903
43,7.0165428951440845e-06,0.0004917676247154864
44,6.978052983168499e-06,0.0004942116569369459
45,6.95660258560775e-06,0.0004964999120252637
46,6.944732726529205e-06,0.0004983943206473038
47,6.938190643687938e-06,0.000499844363030906
48,6.934564392115415e-06,0.0005008905024554294
49,6.93249682206862e-06,0.0005016081536618563
50,6.93136095063752e-06,0.0005020736268936441
51,6.930716958427533e-06,0.0005023588086120211
