,Criptos Close eos_loss,Criptos Close eos_val_loss
0,0.0010988076898614124,0.16827763043917143
1,0.0013652804846060462,0.1519014720733349
2,0.001572603992267082,0.148120818229822
3,0.0013404790415034557,0.14451651389782244
4,0.0011394662030327779,0.1371668462569897
5,0.0010192260759560247,0.1274729577394632
6,0.0009712934440288406,0.11797824731239906
7,0.0009501584169741434,0.10996885368457207
8,0.0009073544889151191,0.10299977889427772
9,0.0008404943588315151,0.09618839965416835
10,0.0007697155614061138,0.08903530927804801
11,0.0007071790907782718,0.08169967509233035
12,0.0006543548952322453,0.07452279329299927
13,0.0006030275219997677,0.06764989976699536
14,0.0005491694694053597,0.060998244354358085
15,0.0004941099536014148,0.05449212399812845
16,0.0004409676593450758,0.048156471779713265
17,0.00039087477937125816,0.04210141702340199
18,0.0003432821954797524,0.03639307159643907
19,0.00029777068994008005,0.03105806616636423
20,0.00025480969914217264,0.026115381373808935
21,0.0002151286479112549,0.021613939163776543
22,0.00017942024183307344,0.01760330509680968
23,0.00014711076325441425,0.014081645470399123
24,0.0001188306397615144,0.011053642831169642
25,9.43427828762931e-05,0.00850678550509306
26,7.378079485184011e-05,0.006418513707243479
27,5.692588946168633e-05,0.004753431448569665
28,4.3388695093409086e-05,0.003462581143069726
29,3.280279165315173e-05,0.0024932607148702326
30,2.481044430169277e-05,0.0017905459166146242
31,1.8944856002725337e-05,0.0012990967728770697
32,1.4758822194730434e-05,0.0009688042068424133
33,1.1882094370845993e-05,0.0007564698059398395
34,9.97282509510674e-06,0.0006271231149394924
35,8.73664724237572e-06,0.0005530360056302295
36,7.968868430907605e-06,0.0005140176016049316
37,7.5091448497215215e-06,0.0004960084692216837
38,7.240679871336817e-06,0.0004896432644902513
39,7.089452800265952e-06,0.000489119843293268
40,7.0074564309134776e-06,0.0004910765654550722
41,6.963699364020543e-06,0.0004937077576939303
42,6.940820648756367e-06,0.0004961614523871014
43,6.92919353731178e-06,0.0004981197685433122
44,6.923234536770906e-06,0.000499535074385886
45,6.9201634530075425e-06,0.0005004811324537373
46,6.918581605602342e-06,0.0005010658104975636
47,6.917802352290892e-06,0.0005013918719039514
48,6.9174122315346794e-06,0.0005015481326084298
49,6.917272947668187e-06,0.0005015988807337215
