,Trends trend_nem_loss,Trends trend_nem_val_loss
0,0.0007505654928256542,0.1628582523419307
1,0.002846161966982226,0.1693788102039924
2,0.0018787382175035488,0.17430321069864127
3,0.0012722297794355724,0.1603559163900522
4,0.001148323886669599,0.14509939230405366
5,0.001339686792702056,0.13775695058015677
6,0.0012846197709082984,0.1331994877411769
7,0.0011085271208475416,0.12588930359253517
8,0.0009981408477939952,0.11684060096740723
9,0.0009742080628012235,0.10894392774655269
10,0.0009372744915218881,0.1022552503989293
11,0.0008572192332044673,0.09534500424678509
12,0.0007811369208726459,0.08801330282137944
13,0.0007268946367101028,0.08094164155996762
14,0.0006737664158348567,0.0742658250606977
15,0.0006123592868859235,0.06770223608383766
16,0.0005531863985547366,0.061234576197770924
17,0.0004993317908464143,0.05500341894534918
18,0.0004478819559713324,0.04906418289129551
19,0.000396611199203807,0.043402992762052096
20,0.0003483436829320943,0.03804500974141634
21,0.00030342610261868685,0.0330343722150876
22,0.0002615849667703375,0.028399047943261955
23,0.00022293544260229773,0.02415406732605054
24,0.00018809195003436448,0.020320322078007918
25,0.00015695426331009142,0.016910925794106264
26,0.00012935466489020304,0.013912376446219591
27,0.00010586666422358785,0.011329126472656544
28,8.571355395430986e-05,0.009133632366473857
29,6.914579241241042e-05,0.0073012253985955166
30,5.577112516710678e-05,0.005802455501487622
31,4.511431563094867e-05,0.004594019470879665
32,3.7020587394810995e-05,0.0036403344084437075
33,3.087707773374859e-05,0.0028984124342409465
34,2.6444545605604966e-05,0.0023318480771894637
35,2.3287007514647066e-05,0.0019045789690258412
36,2.110680613371257e-05,0.001586330051605518
37,1.9622297049164234e-05,0.0013515161565290047
38,1.862053575398302e-05,0.0011791969255472606
39,1.7940045346711904e-05,0.0010534347070810886
40,1.7456608230321974e-05,0.000961496987236807
41,1.7095327621063916e-05,0.0008942673179822472
42,1.6799213391585418e-05,0.0008447912987321615
43,1.6538910550969795e-05,0.0008081006369768427
44,1.629500352114869e-05,0.0007805717535890066
45,1.6058323056383346e-05,0.000759528546880644
46,1.5824264594882083e-05,0.0007430926108589539
47,1.5591458367662897e-05,0.0007298806359848151
48,1.5359507555191296e-05,0.0007189044890065605
49,1.512914405583825e-05,0.0007094669137866452
50,1.4900724916235329e-05,0.000701070145274011
51,1.4674944255742817e-05,0.0006933743671442454
52,1.4452170524656629e-05,0.0006861509576153297
53,1.4232775076659611e-05,0.000679259358618695
54,1.4017014459218794e-05,0.0006725913845002651
55,1.3805014707311504e-05,0.0006661115285868829
56,1.3596934737646594e-05,0.000659775365000734
57,1.3392841468045775e-05,0.0006535830638872889
58,1.3192771803005598e-05,0.0006475092556614142
59,1.2996758344413069e-05,0.0006415785218660648
60,1.2804816693600375e-05,0.0006357711704018024
61,1.2616903614588618e-05,0.0006301060784608126
62,1.2433044818093409e-05,0.0006245763327639836
63,1.2253234794675685e-05,0.0006191879242228774
64,1.2077448358328324e-05,0.000613943852770787
65,1.1905679230039823e-05,0.0006088407692284539
66,1.1737923841792508e-05,0.0006038813690583294
67,1.1574131978984671e-05,0.0005990624015864271
68,1.1414313401194075e-05,0.0005943843414290593
69,1.1258363026802097e-05,0.0005898429439044916
70,1.1106374096505953e-05,0.0005854394268960907
71,1.0958214786044733e-05,0.0005811686143995478
72,1.081391133084253e-05,0.0005770317242982296
73,1.0673373690923863e-05,0.0005730238671486194
74,1.0536611555905369e-05,0.0005691450698157916
75,1.0403556433839885e-05,0.0005653907876246824
76,1.0274167030169898e-05,0.0005617609489350938
77,1.0148400860998663e-05,0.0005582520120347348
