,CombinacionCriptos_n512_loss,CombinacionCriptos_n512_val_loss
0,0.0010194535169340759,0.1579518478650313
1,0.0013838369234760578,0.14161149125832778
2,0.0015125351525896874,0.13754253662549532
3,0.0012417580381644745,0.13263488503602835
4,0.0010393770263852696,0.12371376042182629
5,0.0009313015661274011,0.11311294138431549
6,0.0008969447338201392,0.10361924194372617
7,0.0008762897856426067,0.09608356998516963
8,0.0008257506269728765,0.08959335547227126
9,0.0007560226009585536,0.08309141947672917
10,0.0006900497000270451,0.07631565974308895
11,0.000635819913720927,0.06959419640210959
12,0.000588150750935221,0.06321730751257676
13,0.0005397661857736799,0.057189308680020846
14,0.0004883061718338957,0.051349180249067455
15,0.00043775655593400676,0.04566883410398777
16,0.0003901258991950621,0.04021179504119433
17,0.0003451016348732922,0.03504243493080139
18,0.0003021789749394744,0.030201124743773386
19,0.00026139476540265605,0.02571471293385212
20,0.0002228739954611788,0.02158197617301574
21,0.00018798830625690662,0.017844263177651625
22,0.0001564963190153671,0.014525139417785864
23,0.00012832538777729496,0.01163298120865455
24,0.0001035116608993401,0.009155457122967793
25,8.232931633336612e-05,0.007078158525893321
26,6.464094048379383e-05,0.005380054792532554
27,5.0055605103037895e-05,0.004024640943568487
28,3.8443572171113024e-05,0.002974597164071523
29,2.935541474121587e-05,0.0021828687749803066
30,2.2481880373211774e-05,0.0016045059937124068
31,1.7442179446684e-05,0.001196789716442044
32,1.3829024457943608e-05,0.0009195246697904972
33,1.133403347571752e-05,0.0007382537900971678
34,9.66389510582443e-06,0.0006249527572295987
35,8.578464075981174e-06,0.0005576523925321033
36,7.896986219818176e-06,0.0005201405102315431
37,7.481063133897036e-06,0.0005009148466902283
38,7.235606430045804e-06,0.0004922958861033504
39,7.095266780127601e-06,0.0004894019176180547
40,7.016703394723523e-06,0.0004892857799019951
41,6.974121666084661e-06,0.0004902959783346608
42,6.951383249123375e-06,0.0004915763498642123
43,6.939367591048022e-06,0.0004927395851924443
44,6.9330797906821736e-06,0.000493650073901965
45,6.92976435017884e-06,0.0004942976206970903
46,6.927998426293086e-06,0.000494722317223652
47,6.927074843168577e-06,0.0004949786145096788
48,6.9265930820760195e-06,0.0004951166427837542
49,6.92637888732861e-06,0.0004951770892008566
50,6.926312651627925e-06,0.0004951902217446611
