,Neuronas_n512_loss,Neuronas_n512_val_loss
0,0.000536308378842996,0.14144983844569892
1,0.004307780290466987,0.16281064002474477
2,0.0014264853921379331,0.12269783986747758
3,0.0013557645000046175,0.09832457379122411
4,0.0011145134578933074,0.07231890761162624
5,0.0008840793960429858,0.04756820343496386
6,0.0006539938071195934,0.026250741636950122
7,0.0004307850353789712,0.011103102106077612
8,0.00024332726222095412,0.003419242239333997
9,0.0001116071228330117,0.0012771249387975136
10,4.004296493984245e-05,0.001171063296958681
11,1.3938683641453664e-05,0.0012495612231571967
12,7.822704302188042e-06,0.0012745191605303683
13,6.593758619823167e-06,0.0012895598712238706
14,6.255327273448935e-06,0.0013021122746473593
15,6.10990866789507e-06,0.001310532017609043
16,6.035949934087508e-06,0.0013158508941573514
17,5.996394566577147e-06,0.0013192937394781116
18,5.973685162412828e-06,0.001321554918290493
19,5.959894646223779e-06,0.0013230819965150853
20,5.950922544763468e-06,0.0013242098377740457
