Simulacion,Epochs (1),Epochs (2),Epochs (3)
Criptos Close ethereum,34,27,117
Criptos Close dash,29,79,186
Criptos Close litecoin,40,31,29
Criptos Close monero,32,176,27
Criptos Close ethereum-classic,96,28,85
Criptos Close iota,54,52,29
Criptos Close neo,66,30,300
Criptos Close eos,55,50,300
Criptos Close vechain,54,50,30
Criptos Close qtum,53,54,259
Criptos Close omisego,53,60,300
Criptos Close binance-coin,53,46,29
Criptos Close lisk,56,49,28
Criptos Close zcash,54,52,55
