,Ventana chica_v1_loss,Ventana chica_v1_val_loss
0,0.0001415857675135927,0.08780828489062305
1,0.0034140457629498484,0.10686487016769555
2,0.001782825218997481,0.07272410149184558
3,0.00071572267250623,0.028726773551450327
4,0.0003761215229385906,0.003260706470777782
5,0.0001347721698194508,0.0011755412874313502
6,1.0740444020344483e-05,0.0007547041627381427
7,1.1894961580031798e-05,0.0006475037046654436
8,9.828683032888038e-06,0.0006471601171562305
9,9.769430742886432e-06,0.0006456242912323573
10,9.750374275513483e-06,0.0006476439694569518
11,9.813215973365057e-06,0.000653175021468017
12,9.930330154860883e-06,0.000660716195572884
13,1.0066524075192766e-05,0.0006691205736178046
14,1.0200896217441802e-05,0.0006759712016971137
15,1.0298738484199424e-05,0.0006795553109930971
16,1.0345185732888674e-05,0.000678831898907307
17,1.033213449705173e-05,0.0006743647586867715
18,1.0274031568119607e-05,0.0006677253482988677
19,1.0193257171155775e-05,0.0006608756285948822
