,Trends trend_litecoin_loss,Trends trend_litecoin_val_loss
0,0.015455688060871485,0.19170731374587135
1,0.008033963305682972,0.14047177803927455
2,0.005337055879591525,0.10791791273259568
3,0.005445060100748964,0.0913939020414462
4,0.006152104093939409,0.08678811600153473
5,0.006197549477647776,0.08908076755616856
6,0.005669860169291496,0.0937086127955338
7,0.005030742519931204,0.09738270458818853
8,0.004493669986767673,0.09852105276337986
9,0.004079920004239713,0.09707692077105072
10,0.003762358499840758,0.0938735179517461
11,0.0035181239771860085,0.08993128147618525
12,0.0033192030801812464,0.08601638263669507
13,0.003132860831937742,0.08243175912862537
14,0.002936937958644382,0.0790611070463027
15,0.002730127378506051,0.07563289469000938
16,0.002520968270455969,0.07190026000313375
17,0.002317437543480218,0.06775607014524526
18,0.0021254780177754917,0.06323617662506542
19,0.0019453681882299568,0.05846938336717671
20,0.0017745178968956072,0.053599670700643254
21,0.0016107143721832283,0.048734732400411845
22,0.0014528331143417578,0.04393247266610464
23,0.0013005543050581012,0.039227065769420276
24,0.001155232029817142,0.03465935031230422
25,0.0010177143635335326,0.030272750762002223
26,0.000889745035112418,0.026127897973718315
27,0.0007715438687959792,0.022277422634692026
28,0.0006634272827670492,0.01876307480122851
29,0.0005654737469740212,0.015607859639600775
30,0.0004775751550714004,0.012819035942184514
31,0.00039989393720959966,0.010388554962373328
32,0.00033232635495938017,0.00830754128166999
33,0.00027440766698209803,0.006553882904265119
34,0.0002255740357380917,0.005104244697368008
35,0.0001850046407118247,0.003930722427522314
36,0.00015177991777797626,0.002998403086187853
37,0.00012503877775904177,0.0022720613185016588
38,0.0001039095064049758,0.0017176565885458183
39,8.752697989432912e-05,0.0013046685964853942
40,7.504148848004232e-05,0.001004944159381691
41,6.568752573441779e-05,0.0007934612998118004
42,5.880030346753333e-05,0.0006490635575897906
43,5.383245059357282e-05,0.0005542619713186018
44,5.0316284781645705e-05,0.0004950606554543236
45,4.787313383562362e-05,0.00046067098262666286
46,4.620370345528709e-05,0.0004429131814535579
47,4.508339892102716e-05,0.0004357959116386228
48,4.434507287839353e-05,0.00043509495558334923
49,4.386718664418681e-05,0.00043793503213780877
50,4.3563547593691314e-05,0.0004424353788510479
51,4.337336183940435e-05,0.00044742735683511216
52,4.325617196261829e-05,0.0004522437116013433
53,4.3184882338993764e-05,0.00045654137254874595
54,4.314211459466438e-05,0.00046018439802694423
55,4.311673329466012e-05,0.00046315753294540375
56,4.310171070024264e-05,0.00046551401456603885
57,4.3092811075052586e-05,0.0004673368356394014
58,4.3087494231749794e-05,0.000468718017124967
