,Stocks MSFT_loss,Stocks MSFT_val_loss
0,0.0013061764903562836,0.18583445903683496
1,0.0018781666174407833,0.16974677884381664
2,0.00179496652654503,0.17314812651843078
3,0.0013178252068556044,0.16515494562870214
4,0.001104688706753914,0.15011824975328997
5,0.0011096949446638507,0.13850945591433975
6,0.0010759323750707235,0.13076865242039862
7,0.00094948031012092,0.12251108096650809
8,0.0008352185524461314,0.11269103224612464
9,0.0007625012706641939,0.10305260928455463
10,0.0006953372691242286,0.09430792361251579
11,0.0006130208446036193,0.08566940458845501
12,0.0005339043896091132,0.07694063612744828
13,0.00046610205688259816,0.06852063382706367
14,0.00040171265867654205,0.0605719215121151
15,0.00034018751226119265,0.05300780548906523
16,0.00028574820665627223,0.04592283137819984
17,0.00023815298427958502,0.0394409949129278
18,0.00019704823888268722,0.03359976410865784
19,0.00016290614668141342,0.028421644059833415
20,0.00013567563718808277,0.02393113115171263
21,0.00011477505134934298,0.02011621220052735
22,9.941826752494744e-05,0.016937202627747512
23,8.883627616484796e-05,0.014340922005536142
24,8.182815797550003e-05,0.012256487980792838
25,7.747978906239544e-05,0.010609081969404023
26,7.484843357935672e-05,0.009320400147275492
27,7.321759442652553e-05,0.008321722149695
28,7.204669729752604e-05,0.007547533978546454
29,7.096818246116692e-05,0.006945001407842006
30,6.983774134019498e-05,0.0064707360853833605
31,6.857141082690767e-05,0.006089242286826215
32,6.715322097605633e-05,0.005774174855390856
33,6.559613056881123e-05,0.005505330906796061
34,6.395640933582143e-05,0.005268184091002981
35,6.225052270903599e-05,0.005052621557169463
36,6.049989591822151e-05,0.0048520476441861185
37,5.874997507569126e-05,0.004661275166248487
38,5.6999451591448536e-05,0.004478293403690634
39,5.525361995736122e-05,0.0043010746055736765
40,5.3542874193527114e-05,0.004129039768268131
41,5.1842216695254774e-05,0.0039618461612180985
42,5.017639052898292e-05,0.003799586451019753
43,4.852998852373817e-05,0.0036421419633167586
44,4.692031459041971e-05,0.003489776751149661
45,4.533580206103685e-05,0.003342756624372045
46,4.3791334297746604e-05,0.0032004655708274075
47,4.225142392972561e-05,0.003064052665544566
48,4.077312552893519e-05,0.0029325088724678704
49,3.9301814212202104e-05,0.002806610194966197
50,3.7882450105976465e-05,0.0026859322616691926
51,3.648266307615159e-05,0.0025706792458091393
52,3.513176416764652e-05,0.0024604555084716435
53,3.378815095812036e-05,0.0023557642447831462
54,3.251189158888811e-05,0.0022560927424241195
55,3.124259537122451e-05,0.0021617041818012507
56,3.003817105046204e-05,0.0020720688501095846
57,2.883941912037428e-05,0.0019875733000957524
58,2.7695288916535998e-05,0.001907919796206796
59,2.6581602191267736e-05,0.0018330569146201015
60,2.550394017531244e-05,0.001762858449581487
61,2.446105170461988e-05,0.0016972972291775725
62,2.345826070561374e-05,0.001636231651968392
63,2.2487315911634187e-05,0.0015794156198120437
64,2.1549800835638347e-05,0.001527007837579701
65,2.0653736168587936e-05,0.0014786107546442058
66,1.978787727878152e-05,0.001434282339101057
67,1.8961823288993986e-05,0.0013937599146892586
68,1.8166146031388444e-05,0.001356970672765054
69,1.7406581275642287e-05,0.0013237985058818474
70,1.6682638180242996e-05,0.0012939837049261843
71,1.5984525004967524e-05,0.0012675171769955312
72,1.5326104704016428e-05,0.0012441955820449498
73,1.4696732461202335e-05,0.0012238245276534115
74,1.4094853100717099e-05,0.0012063570003109899
75,1.3528650406216972e-05,0.0011915479784769829
76,1.2989087578213259e-05,0.0011792943720544172
77,1.2480128329913017e-05,0.0011694284275266503
78,1.1997221925652833e-05,0.001161823579310324
79,1.1543600288679639e-05,0.0011563048561388427
80,1.1113002788191776e-05,0.0011527490627005203
81,1.0709846501713926e-05,0.0011510066437912135
82,1.03316370009715e-05,0.0011509319503737751
83,9.9757815420643e-06,0.0011523920082494863
84,9.642882458528904e-06,0.0011552534391333865
85,9.332536122629858e-06,0.0011593867689832923
86,9.042172618032326e-06,0.0011646668205407163
87,8.77087085961445e-06,0.0011709670436160623
88,8.519587290044181e-06,0.001178174573073764
89,8.28563037625714e-06,0.001186178898061664
90,8.069435984193548e-06,0.0011948781994302288
91,7.868905218059778e-06,0.0012041679294856865
92,7.683325041526129e-06,0.0012139445141896852
