,Capas_c4_n16_loss,Capas_c4_n16_val_loss
0,0.0019157056698877717,0.22866500409181453
1,0.0016317577963581402,0.22082466268834988
2,0.0016082671570999563,0.21556661333426957
3,0.0016754851512964968,0.21267737448215485
4,0.0017406857728357774,0.21154838184679836
5,0.0017736214617159495,0.2114639783447439
6,0.00177997566975099,0.21183309550127707
7,0.0017735317478356652,0.21227927432079946
8,0.0017641130652016968,0.21262456525948423
9,0.0017562680954713958,0.21282464906203846
10,0.0017512194564073416,0.21290117255912339
11,0.0017487357566825861,0.2128988442834744
12,0.001748025074816686,0.21285950176972002
13,0.001748248180451472,0.21281098260367212
14,0.0017487998813206006,0.2127680134428434
15,0.0017493071836950488,0.21273457683807562
