Simulacion,Epochs (1),Epochs (2),Epochs (3)
Ventana chica_v0,21,33,21
Ventana chica_v1,20,20,17
Ventana chica_v2,18,20,17
Ventana chica_v3,67,25,38
Ventana chica_v4,25,19,15
