,Trends trend_ripple_loss,Trends trend_ripple_val_loss
0,0.0014751582148615733,0.198017397079586
1,0.0016183485430934705,0.17362701708127645
2,0.0017432302644491689,0.1632368730858338
3,0.0015046417459168217,0.15357263706439783
4,0.0012978420459111182,0.1409287025366933
5,0.0011729007723456448,0.12703671940594666
6,0.0011054904273257028,0.11410380333415733
7,0.0010437769141848669,0.10263958419403754
8,0.0009598659167705057,0.09189283872438857
9,0.0008635994533754208,0.08114237855534909
10,0.000771834609802997,0.07041817176933131
11,0.0006887462283080551,0.06005911904671961
12,0.0006087944161701055,0.05031582805489706
13,0.0005288732768236544,0.04126614944870807
14,0.00045034055254606855,0.03297746889601069
15,0.0003765353125766351,0.025614607786713553
16,0.00030918766586648775,0.019351577386260033
17,0.00024800261550906216,0.014300352516622582
18,0.00019376158768653654,0.010490959979716904
19,0.000147434306515704,0.007910585731329503
20,0.00010938728807882737,0.006476195194288965
21,7.912316883929566e-05,0.006030138016270458
22,5.606524803827725e-05,0.006362780790067901
23,3.9496751007150615e-05,0.007237552187967399
24,2.8086531829629633e-05,0.008415989489256105
25,2.069934526836492e-05,0.009689045777498198
26,1.6224909761284616e-05,0.010894694642648717
27,1.3662086357651201e-05,0.011929773209878236
28,1.228339694407172e-05,0.012747005213144397
29,1.1589816442345873e-05,0.01334069132004395
30,1.1250647565413436e-05,0.013734514655714685
31,1.1083547043417339e-05,0.013965748011881163
