,Trends trend_ethereum_loss,Trends trend_ethereum_val_loss
0,0.0014518407221079212,0.19833335896168858
1,0.0013887518208689433,0.16950770362842182
2,0.001363897053447883,0.15599300398314295
3,0.0009889235173559878,0.14475260958198674
4,0.0006992392028366362,0.13098291264585227
5,0.0005343866097733132,0.11640050379205341
6,0.00045651071108415844,0.10408420916184906
7,0.00040683451864853006,0.09482694682010934
8,0.000359911733539775,0.08737541568919646
9,0.0003261993863342776,0.08078336814218316
10,0.0003083607221353214,0.07530127034699621
11,0.00029819288970767865,0.07121352137120301
12,0.00028791166358523474,0.06808786100346195
13,0.0002767048405256307,0.06536053896935518
14,0.0002663214116122512,0.06284529241648587
15,0.0002566796360914557,0.06047138941189474
16,0.00024674244394356555,0.05807818675583059
17,0.0002366036053050371,0.05557743041229642
18,0.0002266410877735716,0.05300189499273773
19,0.00021661899734696388,0.05038195956221297
20,0.00020639684201845485,0.04772681265699962
21,0.00019614948848529896,0.04506523149811532
22,0.00018591604165228714,0.04242180423303084
23,0.00017563025729272762,0.039798995526122656
24,0.00016541160236128167,0.037207310726819945
25,0.00015525562144635044,0.034651021665531745
26,0.000145180618452016,0.032132508679608665
27,0.0001352394491213774,0.02965965476040998
28,0.00012545320224632654,0.02724068953601782
29,0.00011585799441769073,0.024885060127116432
30,0.00010649875677835334,0.02260396889726485
31,9.741233333450749e-05,0.020408034124527095
32,8.864305117422492e-05,0.01830787462574884
33,8.023236617845221e-05,0.016313598252648165
34,7.221911587557093e-05,0.014434412845279559
35,6.464066101509447e-05,0.012678685213231351
36,5.752873806136637e-05,0.011053381364577073
37,5.0910692257914416e-05,0.009563893195210902
38,4.480703855808901e-05,0.008213630531075572
39,3.923111457391142e-05,0.007003838350334443
40,3.4188174809548576e-05,0.005933470404437505
41,2.96751078911422e-05,0.004999197307543075
42,2.5680515414737896e-05,0.004195508008345592
43,2.218514650435695e-05,0.0035149315564531433
44,1.9162673543328574e-05,0.0029483351563988638
45,1.6580816760730413e-05,0.0024853081727200304
46,1.4402740989755916e-05,0.00211458578167006
47,1.2588468751887414e-05,0.0018244994898549904
48,1.1096512281248338e-05,0.0016034066269158824
49,9.885290637612343e-06,0.0014400828104420018
50,8.914555222842811e-06,0.0013240324391036733
51,8.146377319259827e-06,0.0012457339730005989
52,7.5460338848643005e-06,0.0011967924030974876
53,7.082542614332566e-06,0.0011700136656295661
54,6.728889635900682e-06,0.0011593933680964525
55,6.462068668493764e-06,0.0011600656117397275
56,6.2628966197960775e-06,0.0011681917158132497
57,6.115698559084149e-06,0.001180838951302215
58,6.007912921361348e-06,0.0011958368035987759
59,5.929637528567605e-06,0.0012116374203565816
60,5.873214080160068e-06,0.0012271915166061525
61,5.832788773216086e-06,0.0012418311089277267
62,5.803970125721996e-06,0.0012551669958855741
63,5.783513819746873e-06,0.0012670178841876465
64,5.769019721322193e-06,0.0012773441445190182
