,Ventana 256_v90_loss,Ventana 256_v90_val_loss
0,0.001982731779720873,0.0045141542975146035
1,0.005207192045278274,0.03562373228562184
2,0.0016916347010873067,0.015468748143086066
3,0.00041761863394640386,0.0019633832554786634
4,0.0003290422602544706,0.0032452010812285617
5,0.00019559566265879534,0.0016840990716352677
6,0.00028478008178540337,0.0017287010470261942
7,0.00025489188071029883,0.002553600161216962
8,0.00013880294024532376,0.0016424417113646483
9,0.00016187809468157447,0.002048294513653486
10,0.00016237776062319963,0.002065206865947216
11,0.00013891398497761632,0.0015834970817638512
12,0.00013275381356018045,0.0016924201045185328
13,0.00013049749871312926,0.0015910147414662135
14,0.00013120064949572014,0.0016138713914327896
15,0.00013057341073782972,0.0017045588734058233
16,0.00012844539061263323,0.0016251460899813818
17,0.00012880109697550489,0.0016803305882673997
18,0.0001266465713762535,0.001598377371780001
19,0.0001264178120040108,0.0016141702325489277
20,0.00012553505989788577,0.0015912979590491606
21,0.00012517060727427283,0.001602080578987415
