,Neuronas_n512_loss,Neuronas_n512_val_loss
0,0.0030339327399135866,0.0669731124379169
1,0.010317202061836223,0.08630275349507387
2,0.0041250461068850055,0.060400994515967095
3,0.003472013026509359,0.0421816353825317
4,0.0026586185925005904,0.02902577714673404
5,0.001778649984144381,0.017139996005885904
6,0.0011241013797544661,0.008832787217079908
7,0.0006039900218147313,0.00368169828949646
8,0.00027757635112281824,0.0012874739062597696
9,0.00011341080160533217,0.0005394123780980021
10,5.61770370270891e-05,0.0004315621034916619
11,4.437285359268446e-05,0.00044542214239080407
12,4.333676630246383e-05,0.0004520893897111902
13,4.339701355228886e-05,0.00045072101859440066
14,4.350187995358325e-05,0.0004492283159138999
15,4.3574162316809665e-05,0.0004488941678113636
16,4.360903606528614e-05,0.000448946775493865
17,4.3645078211289495e-05,0.0004488820405462864
18,4.3698130636700114e-05,0.00044868202028988766
19,4.376299365576833e-05,0.00044846204350349204
20,4.3831470024108956e-05,0.0004482553715164634
