,Ventana grande_v13_loss,Ventana grande_v13_val_loss
0,0.0009892571423063394,0.011523441693117453
1,0.0015013106483422274,0.023584366537803828
2,0.0023518435120834106,0.019568171785321345
3,0.0023612938531127206,0.018290114350790202
4,0.0024929123256783796,0.008454097954686298
5,0.0025823578778926258,0.009099316090172114
6,0.002632316911803817,0.007994637153176375
7,0.002941956757533833,0.005216739292061606
8,0.0032938041268800295,0.0030832644985165705
9,0.0031020031733791868,0.002542437027143531
10,0.002317446495583077,0.0017848679752543914
11,0.0013252958849949395,0.001233094377269925
12,0.00028211183278365945,0.0009026621701195836
13,0.00013569909150892338,0.0023228332595249942
14,9.353814846185975e-05,0.001087947483282796
15,8.144987547170221e-05,0.0016652490337227667
16,6.619849252148301e-05,0.0013947755553174851
17,6.634666960763772e-05,0.0013569514483733232
18,6.690968390355349e-05,0.0013578877822214433
19,6.699608903897443e-05,0.0013333393347471259
20,6.730469935475917e-05,0.0013149500023140464
21,6.759959368849255e-05,0.0012894834630018056
22,6.811226589391076e-05,0.0012655198779823475
