,Criptos Close qtum_loss,Criptos Close qtum_val_loss
0,0.01370001171083971,0.182831897817809
1,0.006809364929367071,0.13741168448294716
2,0.004580263824512561,0.10521448446416307
3,0.005055385406246816,0.0869051565726598
4,0.0058638007358658584,0.0794443618292096
5,0.005859778530296238,0.07799844597948008
6,0.005318410175413579,0.07817273732574506
7,0.004721416829517861,0.07716445196634052
8,0.004237019103662721,0.07398316897880072
9,0.0038602584036302634,0.06897856140958852
10,0.0035693566475448937,0.06312165246612725
11,0.003342836573398833,0.05733152401858363
12,0.003145559851465554,0.05210574990373918
13,0.002944768330178641,0.04754394969378395
14,0.0027247501012665786,0.04347727704664756
15,0.0024887977713911697,0.03964277314043593
16,0.0022498369297205374,0.03585409826930912
17,0.002020838327877138,0.032085933647621634
18,0.0018063674576516296,0.028398458599701696
19,0.0016070280248170782,0.024884722484596843
20,0.0014208603099031352,0.021616525733950495
21,0.0012452886152166831,0.0186144618381714
22,0.0010801672509967767,0.01587234386082353
23,0.0009271271744924972,0.01338700245766119
24,0.0007870691331991947,0.011149526156228164
25,0.0006612426114279306,0.0091598910204638
26,0.0005500723043156937,0.007421198172558998
27,0.0004532028815238041,0.005930903571090479
28,0.00036983993493191813,0.004677510402839759
29,0.00029928561122071043,0.0036447506836861715
30,0.00024041986854308038,0.002808546245997322
31,0.00019240321694530719,0.0021462416618891144
32,0.00015399296234104912,0.001634029390547296
33,0.0001239381349530478,0.001248606333466268
34,0.00010089933702952347,0.000967067982145082
35,8.356638203225173e-05,0.0007676419322967701
36,7.08534661780818e-05,0.0006313629444399528
37,6.174098167718313e-05,0.0005422090661936793
38,5.536140079861614e-05,0.00048706820435372405
39,5.099236563412772e-05,0.00045546464656811506
40,4.8067256175690794e-05,0.0004394113697678964
41,4.615772082490429e-05,0.00043312556494359226
42,4.4942366107482056e-05,0.0004325656875320336
43,4.418699563234702e-05,0.0004350118226660737
44,4.372797127285886e-05,0.0004387327463863867
45,4.345540143950875e-05,0.0004427037653432966
46,4.329730374551239e-05,0.0004463755203164771
47,4.320773666546594e-05,0.00044949728214107026
48,4.315796301027107e-05,0.00045199955521879354
49,4.313064638917313e-05,0.0004539137034430757
50,4.311576885393361e-05,0.0004553202607925853
51,4.310763910032766e-05,0.000456312189585176
52,4.3103165013632665e-05,0.00045698136827191234
