,Criptos Close ethereum_loss,Criptos Close ethereum_val_loss
0,0.0011411614852057449,0.1634781429400811
1,0.0013272886773428093,0.13595702785712022
2,0.0015447157023188013,0.12388432713655326
3,0.0012978706755138074,0.11326569318771362
4,0.0010727917162092547,0.09945730750377361
5,0.0009323431944582039,0.0839129239320755
6,0.0008639753885710469,0.0695918660897475
7,0.0008258664624568505,0.057653928032288186
8,0.0007698215765860648,0.047638765894449674
9,0.0006925261326474496,0.03863804443524434
10,0.0006126776038749645,0.030345657697090737
11,0.0005434253711987716,0.023022353649139404
12,0.00048545491154072806,0.017039146847449817
13,0.00043085612112638325,0.012444547305886563
14,0.00037683936702356173,0.009217651847463388
15,0.00032564293696151045,0.007323224598971697
16,0.0002797858698893553,0.006745349759092698
17,0.00023997488796549777,0.007393147796392441
18,0.0002054353758117381,0.00909269593942624
19,0.0001756578939631044,0.011621229565487457
20,0.00015070068883897664,0.014723038229231652
21,0.0001304875216961731,0.018111615943220947
22,0.0001144908357953402,0.021493651259403963
23,0.00010179014008407158,0.02462818058064351
24,9.191970905074134e-05,0.02733065517475972
25,8.428450004990176e-05,0.029474895590772994
26,7.826825206463512e-05,0.03101256389457446
