Simulacion,Epochs (1),Epochs (2),Epochs (3)
Stocks ^IXIC,47,297,123
Stocks ^RUT,51,300,76
Stocks ^DJI,49,300,118
Stocks ^GSPC,50,277,111
Stocks AAPL,146,51,88
Stocks FB,159,129,92
Stocks GOOG,109,124,84
Stocks GOOGL,106,117,82
Stocks IBM,50,194,47
Stocks INTC,49,159,43
Stocks MSFT,116,182,93
Stocks NFLX,46,90,81
Stocks ORCL,65,52,102
Stocks TSLA,124,47,97
