,Stocks ^IXIC_loss,Stocks ^IXIC_val_loss
0,0.01012316296926175,0.15359829383334894
1,0.004826077136971142,0.10923341379083436
2,0.006999065532167068,0.09439638513943245
3,0.007916551094031197,0.09507830098442648
4,0.007113120176069353,0.09964030775530584
5,0.006130974275466783,0.10084980863264237
6,0.005415379297223756,0.09663344748403835
7,0.004921998839354378,0.08885560570092037
8,0.004634019862539296,0.08050850667487616
9,0.0044736938561773165,0.07352549625539231
10,0.004293480518691498,0.06817133707561712
11,0.004020945812661158,0.0636641273553344
12,0.0036844868579579667,0.059093140322586585
13,0.0033383271041401157,0.054009544866523526
14,0.0030195319465757616,0.04857439770438205
15,0.0027341209860497163,0.04319792386444136
16,0.002467277974971495,0.03816891290333079
17,0.00220007066154617,0.03348784105873656
18,0.0019315203889968924,0.029051776590018438
19,0.0016705589502750114,0.02480517490499321
20,0.0014269904209429334,0.02080025318367728
21,0.0012046746058582232,0.0171346518414459
22,0.0010024254024965454,0.013868397915329057
23,0.0008190038892301334,0.011004717035711497
24,0.0006559445789008904,0.008533979519859127
25,0.0005156684017221004,0.0064569198601376054
26,0.0003982204482248374,0.004766040267529844
27,0.00030214643111216955,0.0034333063856880554
28,0.00022612303199685425,0.002422030094539982
29,0.00016787652817458427,0.0016862280779229156
30,0.00012489680609606933,0.0011756747837938454
31,9.443350460771043e-05,0.0008399204723001726
32,7.384993668161226e-05,0.0006335431993564313
33,6.059791485313326e-05,0.0005172161638319235
34,5.248536901239402e-05,0.00045907517209991644
35,4.780124014025372e-05,0.0004355360495579568
36,4.5274586039434734e-05,0.0004304952831837167
37,4.40084490267394e-05,0.00043376298934413957
38,4.3425220390982474e-05,0.00043954942462398486
39,4.318430185138687e-05,0.0004450243592647643
40,4.30981617473767e-05,0.00044910703255827055
41,4.307251466584028e-05,0.0004516550468216682
42,4.306590090400068e-05,0.0004529406051633173
43,4.306331969531328e-05,0.0004533372950558176
44,4.306078904198654e-05,0.00045318647499206934
45,4.3058027606992715e-05,0.0004527531985739439
46,4.305561006553578e-05,0.0004522177402797187
