,Stocks AAPL_loss,Stocks AAPL_val_loss
0,0.0006525503066278851,0.14987580134318426
1,0.002712047815573617,0.156904399394989
2,0.001844295179650474,0.16612016696196336
3,0.0012540200917171135,0.15547599013035113
4,0.0010424143424293457,0.13947941477482134
5,0.0011812627747601185,0.129891581260241
6,0.001221677563780059,0.12534386607316825
7,0.0010943719893335723,0.11992570413992955
8,0.0009644638317135664,0.11184420035435604
9,0.0009051217213989451,0.10338870149392348
10,0.0008819831586711538,0.09619163205990425
11,0.0008323315526537884,0.08962183388379905
12,0.000759252047058768,0.08267379380189456
13,0.0006942151689704937,0.0754568874835968
14,0.0006433969829231501,0.06851937220646785
15,0.0005912817734777211,0.061899970357234664
16,0.0005340000777953089,0.05540202558040619
17,0.00047752775404100807,0.049007804347918585
18,0.0004271537512137841,0.04292759241966101
19,0.0003774104843614623,0.03717749050030342
20,0.0003290895558445929,0.03176981554581569
21,0.00028363654620569345,0.026751705946830604
22,0.00024182527116723717,0.02218317985534668
23,0.00020299325786674253,0.01807567821099208
24,0.00016807933346941494,0.014453081127542716
25,0.00013722911787156662,0.011329389965304961
26,0.00011026989711983613,0.00870001043837804
27,8.713239997002977e-05,0.00653427466750145
28,6.815045008597036e-05,0.004807974283511822
29,5.267329309460295e-05,0.0034719804445138345
30,4.0434763185168355e-05,0.0024717155700692763
31,3.1140934040125175e-05,0.0017527673178567337
32,2.4176381570074365e-05,0.0012556327363619437
33,1.918051265630101e-05,0.0009276141376736072
34,1.568624198765834e-05,0.0007219786594550197
35,1.3302726004510008e-05,0.0006004015091233528
36,1.1709852934962748e-05,0.0005334286968438671
37,1.0657598837636984e-05,0.0004998417257761153
38,9.960532784484363e-06,0.00048526651405084593
39,9.490857267407522e-06,0.00048062345013022423
40,9.161826920507547e-06,0.00048056467830275115
41,8.919677419236485e-06,0.00048220994918105693
42,8.731668003747473e-06,0.00048416537734178396
43,8.577545556293513e-06,0.0004858686185728472
44,8.446064664615104e-06,0.00048717204481363297
45,8.330339229500029e-06,0.0004881081583264929
46,8.22600444595222e-06,0.0004887680496232441
47,8.130722702704728e-06,0.0004892434226348996
48,8.042629465657788e-06,0.0004896094279292112
49,7.960722191805522e-06,0.0004899174673482776
50,7.884187583001152e-06,0.0004902012789478669
