,Stocks IBM_loss,Stocks IBM_val_loss
0,0.009081482737400066,0.15301833447368665
1,0.005420426045940526,0.11398240701220501
2,0.007534256386945303,0.1015306706058568
3,0.008114527728965228,0.10191716955996108
4,0.007294348668542573,0.10486738846219819
5,0.0063610031863610295,0.10443882455770996
6,0.005657476645990692,0.09929576910090172
7,0.0051664194070744785,0.09129349219387975
8,0.0048677455941643355,0.08303018976217029
9,0.004672565575068195,0.0760403493012505
10,0.004450701616019353,0.07043545992895105
11,0.004147684099902025,0.06553757139321031
12,0.0037894584720247777,0.06055336128706219
13,0.003425670136033889,0.05513089646895727
14,0.0030894206379187003,0.04946160282211742
15,0.0027841544869334446,0.04389035333504622
16,0.0024967509831687242,0.0386523162496501
17,0.0022126865310958406,0.03377292399433838
18,0.0019304980122452152,0.029177272114260442
19,0.0016561655619385086,0.02479715966458978
20,0.0014027654402086448,0.020689930124529476
21,0.0011739958908633683,0.016965015523735135
22,0.000967667986713778,0.013679969392117413
23,0.0007815070158598581,0.010819209760975564
24,0.000618489669574339,0.008371285173570973
25,0.0004800764998372901,0.006326194456510845
26,0.0003664464527211184,0.004675028438883266
27,0.00027529904772741616,0.0033873583447059682
28,0.0002043602185928659,0.00241818403739525
29,0.0001509125951955887,0.0017125315926754955
30,0.00011253428522326138,0.0012206317128977556
31,8.619377833132728e-05,0.0008939769956679351
32,6.889634238470388e-05,0.0006880088891277368
33,5.808483873461855e-05,0.0005648529268105397
34,5.1743866010681436e-05,0.0004956860184915706
35,4.828487291742095e-05,0.00045980947846867916
36,4.653102758771408e-05,0.0004429184020785936
37,4.5721711991983734e-05,0.0004359460997812707
38,4.5396601674200477e-05,0.0004336794543256662
39,4.528739369018057e-05,0.0004333420255189312
40,4.5255135773913935e-05,0.0004335945909013222
41,4.5239845683514514e-05,0.00043389611093370224
42,4.521964674704473e-05,0.00043408696716330173
43,4.5189723367776036e-05,0.0004341613331370741
44,4.5152120340693123e-05,0.0004341589268858962
45,4.511031101560809e-05,0.00043412038906552326
46,4.506686142205539e-05,0.00043407294346586986
47,4.502328897354022e-05,0.000434032589499571
48,4.498043199419044e-05,0.0004340055165812373
49,4.493861924020584e-05,0.0004339942436975737
