Simulacion,Epochs (1),Epochs (2),Epochs (3)
Criptos Close ethereum-classic,96,28,85
Criptos Close eos,55,50,300
Criptos Close qtum,53,54,259
Criptos Close omisego,53,60,300
Criptos Close zcash,54,52,55
