,Capas_c1_n512_loss,Capas_c1_n512_val_loss
0,0.013526991213104505,0.17196104615584187
1,0.004208023681294644,0.09240912586108022
2,0.005232928625853925,0.05910252822541642
3,0.006735869185549432,0.06056602179319009
4,0.00465801984189485,0.06184099152170379
5,0.002965047160677355,0.04684159476524112
6,0.0018067064055445037,0.025730657080809276
7,0.001452877617109267,0.01279266101532969
8,0.0009710966842249036,0.006885142268976946
9,0.000326645346465467,0.002302919696459825
10,6.673244971697668e-05,0.00044033521968314703
11,5.9335768954084394e-05,0.0006642543233063971
12,6.79245771105594e-05,0.0007694509528020675
13,8.743648805679625e-05,0.0007587861980247343
14,5.65979067248228e-05,0.0004969701075915718
15,4.704909584145115e-05,0.0004336720241512033
16,4.257581054718747e-05,0.00044838267702330975
17,4.478257537341741e-05,0.0004727468209009318
18,4.431294358767644e-05,0.0004602114726179119
19,4.3631692958230303e-05,0.0004425430596784699
20,4.318605297366853e-05,0.00043629648715214824
21,4.288095066119146e-05,0.0004338958339455227
22,4.295006644612328e-05,0.0004338326271163064
23,4.2923297696270517e-05,0.0004342255743231153
24,4.283845819059181e-05,0.00043499257934718637
25,4.2851185805803896e-05,0.0004361686811932288
