,Stocks ^RUT_loss,Stocks ^RUT_val_loss
0,0.0014216546327448809,0.16480367229535028
1,0.0016684329132728565,0.14940294394126305
2,0.0019291278451699046,0.15859662569486177
3,0.001336447059517153,0.1563567014840933
4,0.0010080863777637626,0.1429844727882972
5,0.0010357146384194493,0.1320117895419781
6,0.001132434088503942,0.126810596539424
7,0.0010504127578594936,0.12227476101655227
8,0.0009225339622039777,0.11522477292097531
9,0.0008564382643761256,0.1073841406748845
10,0.0008369663633997194,0.10070585975280175
11,0.0007942982718724614,0.09467218587031731
12,0.000728396545477713,0.08830276475502895
13,0.0006704144661153595,0.0816821765441161
14,0.000625751693195735,0.0753227942264997
15,0.0005794895019230003,0.06922292823974903
16,0.0005282951231213071,0.06319223344326019
17,0.00047911813705398416,0.05724159456216372
18,0.0004342163609600483,0.051517935326466195
19,0.0003905261191203653,0.04604972096589895
20,0.00034706003736153856,0.040798646899370045
21,0.00030626655181829567,0.03581446982347048
22,0.00026862698821507645,0.031155719206883356
23,0.000233277132792864,0.02684951974795415
24,0.00020025688490932225,0.022889364797335405
25,0.00017064530811694567,0.01930800825357437
26,0.0001444277914533114,0.01612321029488857
27,0.00012099044264547186,0.01332292820398624
28,0.00010086960845420926,0.010902508663443418
29,8.389420816876317e-05,0.008847984270407604
30,6.968473882387535e-05,0.0071305670560552524
31,5.8280633731136244e-05,0.005724750315913787
32,4.913110247938536e-05,0.0045898628349487595
33,4.207367867191071e-05,0.0036911626274769124
34,3.6727886114162036e-05,0.002990541442369039
35,3.2717938525960424e-05,0.002451500568825465
36,2.982466377523871e-05,0.0020427340999818766
37,2.7696895603394994e-05,0.0017353458365855308
38,2.61620631275806e-05,0.0015059070160182624
39,2.5030689497585765e-05,0.001335408968421129
40,2.4176530972069417e-05,0.0012089701082844
41,2.3500527906715153e-05,0.0011150085259802067
42,2.2942191767819728e-05,0.0010449549792191158
43,2.2458333170596652e-05,0.0009923005351223624
44,2.2021663496091675e-05,0.0009522291186910409
45,2.161125457160569e-05,0.0009212240021532545
46,2.1224644604864388e-05,0.0008967062458395958
47,2.0848209505157473e-05,0.0008766833030117246
48,2.0485429838747503e-05,0.0008599016851244065
49,2.0128161570308013e-05,0.0008452396947317398
50,1.9779605841344724e-05,0.0008321173417453582
51,1.9435007253867716e-05,0.0008199562300713017
52,1.9099121065944648e-05,0.000808512308419897
53,1.8762800419398656e-05,0.0007975235438117614
54,1.843582406134094e-05,0.0007868920936464117
55,1.8113366912495203e-05,0.0007764995187664261
56,1.7793091011788838e-05,0.0007663808512286498
57,1.747870989605032e-05,0.0007564257203529661
58,1.717016241925124e-05,0.0007467178645758674
59,1.6865525489825253e-05,0.0007371934703909433
60,1.656783514100915e-05,0.000727869480705032
61,1.627364634679487e-05,0.0007187703516907417
62,1.598553031866546e-05,0.0007098992355167866
63,1.57020939206212e-05,0.0007012315148201126
64,1.542494660847856e-05,0.0006928111050421229
65,1.5151577547210483e-05,0.0006845840073835391
66,1.488574805709784e-05,0.0006766027251545053
67,1.4624220267041192e-05,0.0006688239518553019
68,1.4369112600084358e-05,0.0006612966714713436
69,1.411899742939008e-05,0.0006539524228383715
70,1.387501225298575e-05,0.0006468554851240837
71,1.3635630449033879e-05,0.0006399539191848957
72,1.3401992663812753e-05,0.0006332802944458448
