,TodasVariablesFB_n512_loss,TodasVariablesFB_n512_val_loss
0,0.0013633255775158221,0.14196381431359512
1,0.003718263666646985,0.15465861788162819
2,0.0016385337220036979,0.15107081945125872
3,0.0005675704557618771,0.11466991557524754
4,0.0012619261441823954,0.11185921155489408
5,0.0007882371025446516,0.1052453128191141
6,0.0004926278992430666,0.08887078670354989
7,0.0006236023937862439,0.08344988639538105
8,0.00044734744901339023,0.07640874844331008
9,0.00037448110546952544,0.06805452990990418
10,0.0003697119827847928,0.0636112575347607
11,0.00029689730413687916,0.05800450879793901
12,0.00028725866734300955,0.05370681274395723
13,0.0002603906104923226,0.05024797412065359
14,0.00024610037060203747,0.0468809839624625
15,0.00023829654338232314,0.04444721054572325
16,0.00022942508971587254,0.04213532576194176
17,0.00022678509804581365,0.04034761396738199
18,0.00022188983880019246,0.038759115223701186
19,0.00022017610451887146,0.037427980739336744
20,0.00021649836372279635,0.03626115390887627
21,0.00021428991973292656,0.035220843668167405
22,0.00021084948205568182,0.03428134666039394
23,0.00020786972667198055,0.033399883371133074
24,0.00020422579165404805,0.03257223734488854
25,0.00020085349723768348,0.031772662240725294
26,0.0001971350888757465,0.030997140476336844
27,0.0001932918793709877,0.03023573297720689
28,0.00018947141339035274,0.02948447259572836
29,0.0001855646170532474,0.028748041162124045
30,0.000181650463043927,0.02801253875860801
31,0.0001777512678437723,0.02729038378367057
32,0.00017384092531686363,0.026570556255487297
33,0.00016991016029631003,0.025859850100599803
34,0.0001660856203391002,0.02515579989323249
35,0.00016224372666329145,0.024456074747901697
36,0.00015823749037316212,0.023765200175918065
37,0.00015451051373160086,0.023082176653238442
38,0.0001505628449824424,0.022404620997034587
39,0.00014681343880231277,0.021738382772757456
40,0.00014299833632181757,0.021077190167628802
41,0.00013922456295963807,0.020425608238348596
42,0.00013548368644058847,0.01978223856825095
43,0.00013180775399982499,0.01914762189755073
44,0.00012805844240714438,0.018519251965559445
45,0.00012437186971790373,0.017902259070139665
46,0.00012074655219643879,0.017293526862676326
47,0.00011709487388053766,0.016693165669074424
48,0.0001135545266711583,0.0161037165671587
49,0.00011002374958479777,0.015522297041920515
50,0.00010652505891182675,0.014950690074608875
51,0.00010301098238694697,0.014387823068178617
52,9.961593521158927e-05,0.013836230939397445
53,9.625186010872803e-05,0.013293172591007672
54,9.285285397289463e-05,0.012759563298179554
55,8.958614153715853e-05,0.01223838859452651
56,8.631405384781268e-05,0.011725643578057107
57,8.31193982986196e-05,0.011225372839432497
58,7.996421342026084e-05,0.010734813144573798
59,7.686482142442121e-05,0.010256015337430514
60,7.380182097012248e-05,0.00978820498746175
61,7.081534903800975e-05,0.009331897330971865
62,6.788602205723201e-05,0.00888685674334948
63,6.501525925929085e-05,0.00845431500615982
64,6.219932919730827e-05,0.008033607943126788
65,5.944568399102606e-05,0.007625440708719767
66,5.676081099619086e-05,0.007229892250437003
67,5.414507638936182e-05,0.006847139018086286
