,Criptos Close monero_loss,Criptos Close monero_val_loss
0,0.0014993556099751394,0.20306107303327767
1,0.0015799039205120614,0.17125598581369258
2,0.0016757734331556342,0.1538517934478019
3,0.0014077953461265145,0.13845693375453477
4,0.0011662059888813245,0.12109401267914732
5,0.0010058480971069498,0.10305352533651778
6,0.0009047447353570668,0.08644085925472669
7,0.0008155965459848608,0.07188597549337986
8,0.0007085909591679854,0.058763722989184794
9,0.0005935259482800221,0.04651267244672972
10,0.000488607061368775,0.035307777106515635
11,0.0003970905653516616,0.02557289765085563
12,0.0003162740149115759,0.017639259815462365
13,0.00024309576405327736,0.011574567137824848
14,0.0001799847322375675,0.007363500519971217
15,0.00012980569440251878,0.004935824144862531
16,9.202086822512706e-05,0.004068915235756104
17,6.511793623405147e-05,0.00440648448276372
18,4.718858810730494e-05,0.005520712245594372
19,3.633492511758689e-05,0.007000682921695315
20,3.0582526723873725e-05,0.008493575367553175
21,2.7799946508836483e-05,0.009771521826667235
22,2.6651407322728013e-05,0.010729596557572853
23,2.6257051156654816e-05,0.01135534999414909
24,2.6117451958000384e-05,0.011700441244958846
25,2.6025306103916546e-05,0.011840852654793045
26,2.5918037622920738e-05,0.01184851820927021
