,Trends trend_monero_loss,Trends trend_monero_val_loss
0,0.0014525286050913625,0.19880564966477637
1,0.0015025488254883565,0.17037900654245014
2,0.001572339918679935,0.1558348947812703
3,0.0012913680200518903,0.14312863608529744
4,0.001036730085014681,0.12815230518333182
5,0.000864531394105774,0.11208080912917114
6,0.0007537912052078558,0.09712417780860397
7,0.0006590940843313193,0.08405121637523667
8,0.0005524444445767555,0.07224967860239596
9,0.0004446326568818936,0.0610595877505531
10,0.00035279910133050924,0.050603160126642746
11,0.000280927577102172,0.04140168751690013
12,0.00022249255562201142,0.0336421099452933
13,0.0001752076659463192,0.027237094877179988
14,0.00014064746595195626,0.022100649466199322
15,0.00011803414398411767,0.01817685719733396
16,0.0001039577122250464,0.015313270417126741
17,9.553481077617573e-05,0.013287971304221586
18,9.074490229947462e-05,0.011889261262845402
19,8.800443902146071e-05,0.010956820654721299
20,8.605178901377281e-05,0.01034371131523089
21,8.438873751289096e-05,0.009935651220812285
22,8.282401053714065e-05,0.009655013141676414
23,8.125963220603702e-05,0.009444636377421293
24,7.968697004685995e-05,0.009264671236030326
25,7.811746559315554e-05,0.00909281475084626
26,7.654888915477228e-05,0.008917383110720264
27,7.497478217682185e-05,0.00873320715979111
28,7.339859009582803e-05,0.00854019328089785
29,7.181871689140242e-05,0.008340485709573119
30,7.0233967442408e-05,0.00813670993651733
31,6.864595535780834e-05,0.007930756238681719
32,6.705858265550053e-05,0.007724838516066882
33,6.547021922031956e-05,0.007519803633374616
34,6.388171225033839e-05,0.007316083154710364
35,6.229794322159949e-05,0.0071142516830120205
36,6.071566167520359e-05,0.006914124685562839
37,5.913829554929706e-05,0.006715697051633981
38,5.756493516878248e-05,0.006518896161155267
39,5.599860588886221e-05,0.006323954459926314
40,5.443799454951659e-05,0.006130718233541024
41,5.288568772361152e-05,0.005939381073944825
42,5.1341518454979105e-05,0.005750034966559942
43,4.980662311590854e-05,0.005562742094486213
44,4.828226441577123e-05,0.005377692239713077
45,4.676891547220774e-05,0.005194972523234107
46,4.526799118838058e-05,0.0050147337038531775
47,4.3779907767104814e-05,0.004837054997867297
48,4.230622460845327e-05,0.004662054059796097
49,4.084795571633707e-05,0.004489820816146194
50,3.9406708896993314e-05,0.004320574670352719
51,3.7980668017282806e-05,0.004154533359476111
52,3.6575119300939775e-05,0.003991436752036583
53,3.5190434393055415e-05,0.0038319573745377792
54,3.382356959820363e-05,0.0036758690118050773
55,3.2482261709702465e-05,0.0035233999687162313
56,3.1163403157035106e-05,0.0033747811901791037
57,2.9869811945644875e-05,0.003229995977810838
58,2.8603293550295048e-05,0.0030893322449824043
59,2.7364195954181593e-05,0.002952704844950152
60,2.615339966843959e-05,0.0028206346487272375
61,2.497271394110785e-05,0.0026929971169341693
62,2.3825569942421356e-05,0.0025700314474592276
63,2.27114410674313e-05,0.002451854717555987
64,2.162973982014276e-05,0.0023385492800003732
65,2.0586172092204706e-05,0.002230284972239501
66,1.9577749020950138e-05,0.0021271018950222444
67,1.86081964604139e-05,0.002029119702133019
68,1.7676605945652685e-05,0.001936388633036909
69,1.678477218782304e-05,0.001848951503557484
70,1.593288441443833e-05,0.0017668784130364656
71,1.5121831389734317e-05,0.001690146957778118
72,1.4351474216582122e-05,0.0016187527351666335
73,1.3622596992161953e-05,0.0015526739870821518
74,1.2934613971819923e-05,0.0014918138136440688
75,1.2287641781339448e-05,0.0014361249127094286
76,1.1681307287365275e-05,0.0013854672616609364
77,1.1115033543289375e-05,0.0013397125823592598
78,1.058791725926846e-05,0.0012986986486102677
79,1.0099236281476348e-05,0.0012622480963795516
80,9.647770789605835e-06,0.0012301526894438859
81,9.232386655038539e-06,0.0012021933726519961
82,8.851427315856514e-06,0.0011781301341704594
83,8.503880256412682e-06,0.0011577371860015367
84,8.187768909829926e-06,0.0011407330686087943
85,7.901466428735178e-06,0.0011268617231244883
86,7.643282603664773e-06,0.0011158623195769003
87,7.4115266219571125e-06,0.001107465800028756
88,7.2041523704563375e-06,0.0011014031488756257
89,7.019515307983365e-06,0.0010974268940823876
90,6.855888723143572e-06,0.001095282785548282
91,6.711360811095801e-06,0.0010947310375357586
92,6.5843104820946e-06,0.0010955488898075562
93,6.4731213535933345e-06,0.0010975246367714376
94,6.376203698380793e-06,0.0011004614557162667
95,6.292089629590738e-06,0.001104178067781647
96,6.219425864205845e-06,0.0011085117541730772
97,6.156909039944833e-06,0.0011133147164994527
98,6.103349689946607e-06,0.0011184572190246428
99,6.057673496144154e-06,0.0011238226347625995
100,6.018889137499361e-06,0.0011293120934312377
101,5.986096787389463e-06,0.0011348407503894784
