,Stocks ORCL_loss,Stocks ORCL_val_loss
0,0.00934396597995669,0.15212463270658735
1,0.005322822551617677,0.1118040012902227
2,0.007704065962769519,0.10011609309706195
3,0.008216284558005717,0.10173545520881126
4,0.007258336038339412,0.10533454551778991
5,0.006273728345745596,0.10465507808772997
6,0.005559034052775937,0.09874815673663698
7,0.005076526383194944,0.09007560795751111
8,0.004805373907057119,0.08154944544551017
9,0.0046293504546856745,0.07466438720966208
10,0.0044010140365738975,0.06931818662018611
11,0.004074272217935529,0.06454193626327076
12,0.0036982274814990573,0.059474180142084755
13,0.0033316606041525715,0.053900878319795106
14,0.0030018574753562094,0.04813925939044733
15,0.002706056293474789,0.04261079833082769
16,0.002424904478489068,0.0375263329552508
17,0.002139912741579886,0.03278568190062183
18,0.0018563352969485796,0.028245587886750013
19,0.0015895129984308933,0.02392057830403591
20,0.0013468977861406132,0.01992588528785212
21,0.0011270272186903775,0.01635143704626752
22,0.000926737801369879,0.013197160850482425
23,0.0007472083336491695,0.01044369341227515
24,0.0005910679966949954,0.008083365129670877
25,0.0004598951929291689,0.006118611421907085
26,0.0003526081169163273,0.0045433942892256825
27,0.00026630210367716505,0.0033181145594551645
28,0.0001985672878064001,0.002386644964331183
29,0.0001481994468017599,0.0017064393005580053
30,0.00011195786111324427,0.0012295997391144435
31,8.698191792147513e-05,0.0009103171104543853
32,7.041625388504551e-05,0.0007053818781164357
33,6.001527766073551e-05,0.0005800606423303828
34,5.384510005496432e-05,0.0005074720214195978
35,5.0402218398996685e-05,0.0004678687827404717
36,4.860486840426483e-05,0.00044760735833953164
37,4.77402794075161e-05,0.00043797437181888985
38,4.73624606728527e-05,0.00043378608239729
39,4.721176752020423e-05,0.00043215815596089793
40,4.715211558170435e-05,0.0004316133416214979
41,4.711966752877523e-05,0.0004314676434973833
42,4.7088726519020915e-05,0.00043144074687466623
43,4.705188491672074e-05,0.0004314360367375073
44,4.70091722020478e-05,0.00043142970414543206
45,4.6962516671033236e-05,0.00043142036014322146
46,4.691382437367688e-05,0.0004314105397748665
47,4.6864420914187514e-05,0.00043140110712305737
48,4.6814931063155443e-05,0.0004313929657446456
49,4.6765699592250366e-05,0.00043138522312216376
50,4.671680561705738e-05,0.0004313780425046838
51,4.666825110292137e-05,0.0004313711545981424
52,4.6620067955334615e-05,0.00043136539003255125
53,4.657207841512576e-05,0.00043136144395457347
54,4.652435595274036e-05,0.000431359286591325
55,4.647686172125529e-05,0.000431359540831683
56,4.6429659949813634e-05,0.0004313620541314327
57,4.6382314331853634e-05,0.00043136697368236025
58,4.6335330295534375e-05,0.0004313737997014461
59,4.628851256084404e-05,0.0004313833792105146
60,4.62417902081038e-05,0.0004313947380675624
61,4.619528341606185e-05,0.0004314082502735372
62,4.6148939705828484e-05,0.0004314237803450903
63,4.610276309172516e-05,0.0004314414152591864
64,4.6056794929625896e-05,0.00043146045351315335
