,Stocks INTC_loss,Stocks INTC_val_loss
0,0.0013480185401074643,0.1972519614972359
1,0.0021586627468528335,0.1871734362495832
2,0.0019449385870171111,0.18810912240142666
3,0.0015215246374372486,0.1771102557497576
4,0.0013763810602239956,0.16230984376974342
5,0.0014080867654266806,0.15181274182540327
6,0.0013548767151819034,0.14384770812081896
7,0.0012275845669633286,0.134613518995687
8,0.0011268202571413856,0.12429365663489034
9,0.0010644825510218862,0.1145339876043895
10,0.0009937067054335243,0.10538090451443491
11,0.0009068877562257068,0.09612670251406914
12,0.0008247239497867374,0.08676777305928143
13,0.000750309281620728,0.07767468081279234
14,0.0006754879285542926,0.06891103538353581
15,0.0005986490592356648,0.06034818384026693
16,0.0005263735983743956,0.05210692395479226
17,0.00045877944486608254,0.04438377387267499
18,0.00039239364102759884,0.03717875006523999
19,0.00033052369576016795,0.030557511112660415
20,0.00027436622147148184,0.024623353496070737
21,0.00022322571682955393,0.019403460935866538
22,0.0001780894752841997,0.014926205558533018
23,0.0001390914745149703,0.011201967231251976
24,0.00010600562057311624,0.008194405269955308
25,7.914791587443852e-05,0.0058585015271813414
26,5.7802207513966344e-05,0.004120623894913261
27,4.1431576121321396e-05,0.0028905101536103516
28,2.9430368940215097e-05,0.0020733506857486795
29,2.092082045726047e-05,0.0015711255914200681
30,1.5202473992412556e-05,0.0012962827305040084
31,1.1525348819597924e-05,0.001173114115449269
32,9.297959629541516e-06,0.001142410598964669
33,8.018233837758976e-06,0.0011611272242258895
34,7.333060239034239e-06,0.001200799793697709
35,6.989483048798794e-06,0.001244530520471167
36,6.830359298941748e-06,0.0012836142920327088
37,6.760660924119894e-06,0.0013147772920956789
38,6.728951857364659e-06,0.0013376117889838646
39,6.7104599284068755e-06,0.001353323449042033
40,6.6935215967953635e-06,0.001363465290185649
41,6.674880157431688e-06,0.0013696574577138074
42,6.653295097125056e-06,0.0013731506427996291
