,TodasVariablesCriptoTrends_n512_loss,TodasVariablesCriptoTrends_n512_val_loss
0,0.0009791875797591349,0.16788455671515345
1,0.0027197585556625334,0.15079372320785994
2,0.0014607204515910284,0.12906395243711707
3,0.0008221059381694356,0.09466894506669242
4,0.0007065422736754841,0.06828637245642252
5,0.0006872176034914807,0.052175082635780995
6,0.0004897568819126545,0.03890425887359075
7,0.00035446453688008143,0.027721924791959198
8,0.0003241107036400017,0.020930535852724363
9,0.0002948908315810821,0.017150150569663805
10,0.000258250582567801,0.01481332381887069
11,0.0002450529250945542,0.013630639088209256
12,0.00023712253105183986,0.013080505188554525
13,0.00022353393938257706,0.012718402453475008
14,0.00021499501671622823,0.012470093371023325
15,0.00020761588890940599,0.01226927149917715
16,0.0001988180545986099,0.012061051273918596
17,0.00019227121672823965,0.011857720726931637
18,0.00018564799729800082,0.011648579096529355
19,0.00017893967020983446,0.01143089743438831
20,0.0001731616418908758,0.011214301517341008
21,0.00016713447708632673,0.010995032931562544
22,0.00016151367679954128,0.01077650968477992
23,0.00015606569974829467,0.010557549770859894
24,0.00015091211058792066,0.010339943361122254
25,0.00014581550287914055,0.01012161413346194
26,0.00014103578110389057,0.009904188865965063
27,0.00013635548240310813,0.009686725537392719
28,0.000131845126801155,0.009469795290934892
29,0.00012750225472369823,0.009253632004011022
30,0.0001232984081566842,0.00903898347092192
31,0.00011920643869829787,0.00882548298532805
32,0.00011525425211139685,0.008613918020874878
33,0.00011144643188848676,0.008404522785947713
34,0.00010773732915255126,0.008197255657739506
35,0.00010416504773282453,0.007992401644048736
36,0.00010070498533160157,0.007790500684910692
37,9.732893179844265e-05,0.007591415502608192
38,9.40759896929953e-05,0.00739498542667913
39,9.095587536513667e-05,0.0072023045398633585
40,8.785458490173602e-05,0.007011836494727076
41,8.496743771690137e-05,0.006825386563870163
42,8.20588247734122e-05,0.006641799803392207
43,7.928789627915325e-05,0.0064614102213589614
44,7.660971772385577e-05,0.006284771870036633
45,7.39839524612762e-05,0.006111041898646754
46,7.147060453214429e-05,0.005940773349239929
47,6.90215626889782e-05,0.005773717737641217
48,6.664516560012698e-05,0.005610208036685901
49,6.432420313036e-05,0.0054496498316649565
50,6.21043415047413e-05,0.005292757183374945
51,5.990566948211313e-05,0.0051387154019999605
52,5.780534333143429e-05,0.004988052374259992
53,5.5747279851150906e-05,0.004840560679801178
54,5.375148097946971e-05,0.004696472211209826
55,5.180329399006364e-05,0.004555443251767188
56,4.9914030080626544e-05,0.004417494750458531
57,4.808436687732662e-05,0.004282971309143896
58,4.629309439246566e-05,0.004151470264543064
59,4.455261371408258e-05,0.004023123320869424
60,4.286644159511217e-05,0.0038979757954328022
61,4.1228098494639574e-05,0.0037760025040392787
62,3.962766250195213e-05,0.003657026093237656
63,3.808096577009294e-05,0.0035412907456086316
64,3.657290533527517e-05,0.0034286174345915473
65,3.5113131582702336e-05,0.0033191272792644985
66,3.36920062738109e-05,0.003212685985413711
67,3.231762021333595e-05,0.00310935925457565
68,3.098786686121848e-05,0.0030090572054628745
69,2.969980534754909e-05,0.002912076540322097
70,2.8437606495812782e-05,0.002817921274079949
71,2.723818475670135e-05,0.0027272156853428925
72,2.6064367443159578e-05,0.00263932027684694
73,2.4942106512963986e-05,0.0025546180665462223
74,2.38535111981217e-05,0.002472881055513997
75,2.2805904208784462e-05,0.0023941810720038317
76,2.1802502420195954e-05,0.0023185853559662363
77,2.083680575640395e-05,0.002245942721420453
78,1.9908835654424056e-05,0.0021762624411836022
79,1.9020511944824445e-05,0.0021094956227447376
80,1.8174195645784976e-05,0.0020456509222084086
81,1.736146101799278e-05,0.001984646421672453
82,1.6585566217227925e-05,0.0019264532318569658
83,1.5846307877468498e-05,0.0018710190245558407
84,1.5148742789256363e-05,0.0018183634701100264
85,1.4483462117154398e-05,0.0017683126488392633
86,1.3850859183796935e-05,0.0017208037243709583
87,1.3254217610815695e-05,0.0016758520231189684
88,1.269249934154709e-05,0.0016334310293289994
89,1.216052650990665e-05,0.0015933307836386414
90,1.1659900788679596e-05,0.0015555323488348402
91,1.1191808489682383e-05,0.0015200211316316334
92,1.0752909392150203e-05,0.0014866549408155654
93,1.0340524275021335e-05,0.001455325781452385
94,9.956671630247873e-06,0.001426017091778869
95,9.599775701885358e-06,0.0013986407136467617
96,9.266740569968955e-06,0.0013730357004683618
97,8.957287853955067e-06,0.0013491788788598555
98,8.671375190933459e-06,0.0013270019332316419
99,8.407992064642088e-06,0.0013063877132097799
100,8.164239547158638e-06,0.0012872419454742316
101,7.938745173395703e-06,0.0012694873533419463
102,7.732501074292674e-06,0.001253089982023355
103,7.544354251095225e-06,0.0012379281149699915
104,7.371615681245015e-06,0.0012238963799597311
105,7.212664284392198e-06,0.001210961036753556
106,7.068636553089735e-06,0.0011990785739222957
107,6.938540837453286e-06,0.0011881341338003716
108,6.819741166276619e-06,0.0011780416854649536
109,6.711028482859246e-06,0.0011687761014866189
110,6.613325120059558e-06,0.0011603050549660833
111,6.526267528040854e-06,0.0011525313910635666
112,6.447152801296743e-06,0.001145366748625582
113,6.374531701360618e-06,0.0011388104589856113
114,6.309932156782001e-06,0.001132853622625251
115,6.25377441048675e-06,0.0011273948071632257
116,6.202863501543603e-06,0.0011223466154803667
117,6.155066984327517e-06,0.001117735719192804
118,6.1128906595550984e-06,0.0011135883675503337
119,6.078132744823209e-06,0.0011097902849639867
120,6.04691660164688e-06,0.0011062372104488005
