,Criptos Close binance-coin_loss,Criptos Close binance-coin_val_loss
0,0.013767148614272305,0.18160545038080764
1,0.006916795429056403,0.13680066699269175
2,0.004508482078197359,0.10434577793910585
3,0.004867974026449795,0.08553729420420768
4,0.005704911538110724,0.07768946594890506
5,0.005766595023330943,0.07610269558840785
6,0.005260076919763252,0.07639292019537125
7,0.00467215309818757,0.07566639369931714
8,0.004190081525754569,0.07280306038500249
9,0.0038154013107006236,0.06806897414826799
10,0.0035239006660279185,0.06238058928785653
11,0.0032968983380659215,0.056663663394149695
12,0.0031031432251135507,0.051488562390722074
13,0.002907449617746404,0.046966051575781285
14,0.0026931279611870132,0.04294142195548134
15,0.0024622623921082966,0.03915975465514194
16,0.0022283188260064043,0.03544312561380452
17,0.002001533761149508,0.03174139122510779
18,0.0017888599527657203,0.028108658119179737
19,0.0015915174294134666,0.02463825834893632
20,0.0014067580776246287,0.021406999478737514
21,0.0012335872877089456,0.018436822783330392
22,0.001070845176348056,0.015730849370874208
23,0.0009192278054703412,0.013275716689297523
24,0.0007805152322518928,0.011066486009921151
25,0.0006559879904420212,0.009099728566990501
26,0.0005460269668878153,0.007379170207456611
27,0.0004501553632361793,0.005903211325920862
28,0.00036765811978250573,0.004663910010251506
29,0.0002977315697085712,0.0036399410662894278
30,0.00023939827291145064,0.0028112081425457165
31,0.00019177068734070523,0.002153326093551071
32,0.0001536819225126321,0.00164322792445363
33,0.0001238629378474735,0.001258729279961908
34,0.00010095416329367536,0.000976720836880649
35,8.372890350847752e-05,0.000776405035432471
36,7.103930609488068e-05,0.0006388559028902359
37,6.191583782509398e-05,0.0005481326705026815
38,5.5513578539328845e-05,0.0004913613565490935
39,5.1117437881960846e-05,0.00045824495221798617
40,4.8165589822897816e-05,0.0004408924503187681
41,4.622992889182214e-05,0.00043355195880760494
42,4.499120091324961e-05,0.00043216356024113967
43,4.421659794953202e-05,0.00043398087065474225
44,4.374407748317068e-05,0.00043724647230714903
45,4.346228955512941e-05,0.000440901495588558
46,4.3297786551297525e-05,0.0004443613887261385
47,4.320390834091713e-05,0.00044735060568534954
48,4.315133486377964e-05,0.0004497779507842985
49,4.3122308894432546e-05,0.00045165726339615797
50,4.310649246794985e-05,0.00045305277868548687
51,4.309782663516797e-05,0.0004540488335314667
52,4.309306715530793e-05,0.0004547307108550322
