,CombinacionStocksIndex_n512_loss,CombinacionStocksIndex_n512_val_loss
0,0.004854873590835038,0.09958076819606211
1,0.00984943915030052,0.09416134021748071
2,0.009387552786361554,0.11245613159804509
3,0.007080408889029561,0.11710289172057448
4,0.005727636874064632,0.10515542465379868
5,0.005263507213636205,0.09086182919041864
6,0.005507139066212821,0.08312228544690144
7,0.005483051640217075,0.0805558267681078
8,0.00500949966887162,0.0778460771530524
9,0.004466382537743655,0.07227203061525848
10,0.004069653393208295,0.06517025914000368
11,0.0038370467821435853,0.058949049861951805
12,0.0035969085185842097,0.05393194861110599
13,0.0032704048736513346,0.04912218245966681
14,0.002912237037283679,0.0438121236946391
15,0.0025914539904173077,0.038315466851338575
16,0.002316694203550103,0.03329732123462633
17,0.002036305429446029,0.02867256653034824
18,0.001747966147878946,0.024217060028479016
19,0.0014774216731726568,0.019983461190914285
20,0.0012345941457629803,0.01613917963943262
21,0.0010125635953850231,0.012766013949595648
22,0.0008077747496273154,0.009815727499709732
23,0.0006294462364166975,0.007305623802902369
24,0.0004792998326760342,0.005271109837995863
25,0.00035470125169075766,0.0036771489392923213
26,0.0002556220797591725,0.0024753668581017816
27,0.00018144156646663216,0.001629456949966221
28,0.00012789646564345891,0.0010729341221780613
29,9.107787744811168e-05,0.000732284856842424
30,6.808889733731811e-05,0.0005472101332705425
31,5.4779273508673255e-05,0.00046294843430106324
32,4.764437271033189e-05,0.0004350757236383727
33,4.441572874102035e-05,0.0004347800026278429
34,4.318157817610411e-05,0.000444006377526013
35,4.285006267393286e-05,0.00045377413886759813
36,4.2849291004267276e-05,0.00046046512353972626
37,4.290390091321977e-05,0.00046371580730459987
38,4.2935842618041125e-05,0.00046437294302700924
39,4.2933273619581444e-05,0.0004634127815671522
40,4.29125262264446e-05,0.0004617871165318393
41,4.288787883639486e-05,0.00046003563597198874
42,4.28663986623314e-05,0.00045847697397586944
43,4.2851129145329366e-05,0.0004572568463975157
