,Trends trend_ethereum-classic_loss,Trends trend_ethereum-classic_val_loss
0,0.0011952184006356848,0.17200371393790612
1,0.0012815164339442092,0.14814448815125686
2,0.001525409618177666,0.14019832932032072
3,0.0012868429587867397,0.13461766105431777
4,0.0010680174253558596,0.12602853316527146
5,0.0009406586569429447,0.11531704205733079
6,0.000889471746631898,0.10514759558897752
7,0.0008733657551392054,0.09696631706677951
8,0.0008431931872529766,0.09042667081722847
9,0.0007900408213922324,0.08443245406334217
10,0.0007330687591232932,0.07837344362185551
11,0.0006847736820838271,0.07233141362667084
12,0.0006445659449897134,0.06659325498801011
13,0.0006060457459310642,0.061256504975832425
14,0.0005651505556530678,0.05621790026242916
15,0.0005221808521757618,0.05133041510215172
16,0.00048037990312038275,0.046584065143878646
17,0.00044027505030568974,0.042016585285847
18,0.00040149919032746065,0.03766760745873818
19,0.0003632084984789029,0.03352635926925219
20,0.0003259319497514158,0.029606372977678593
21,0.00028992625448154286,0.025914387920728095
22,0.0002555941025023528,0.02245892842228596
23,0.00022342920405767823,0.019269788494476907
24,0.0001931978628048315,0.016357011233384792
25,0.00016503129896031728,0.01371230399952485
26,0.00013955271788290702,0.011349753691599919
27,0.00011671654647216201,0.009276258687560376
28,9.629873441624043e-05,0.007478625012131838
29,7.855859271680507e-05,0.005948060192167759
30,6.3319551162959e-05,0.004667747622499099
31,5.060370753758784e-05,0.0036223598469335297
32,4.00849217979927e-05,0.002785049450512116
33,3.162321973622266e-05,0.002129213562091956
34,2.4967567976720882e-05,0.0016295114675393472
35,1.983021661544626e-05,0.0012586373620881485
36,1.595676060507965e-05,0.000990872342999165
37,1.3118791300187764e-05,0.0008035334042058542
38,1.109078296114883e-05,0.0006770986365154386
39,9.66634799554483e-06,0.0005950208108585614
40,8.693278687132988e-06,0.0005440838375272086
41,8.048251996884714e-06,0.0005143315602953618
42,7.627111174840068e-06,0.0004983159462706401
43,7.359270477116717e-06,0.0004907907031548137
44,7.19317955162506e-06,0.0004882272959758456
45,7.09182690500781e-06,0.0004883155656548647
46,7.031208575916446e-06,0.0004896385989223535
47,6.995620231884039e-06,0.0004913764513240984
48,6.975013093324378e-06,0.0004930920952644486
49,6.963104379582756e-06,0.0004945859456291565
50,6.956341403215797e-06,0.0004957899039324659
51,6.952435412061347e-06,0.0004967092939365942
52,6.9501898434072455e-06,0.0004973799043979782
53,6.948887342052611e-06,0.0004978485432310173
54,6.948093755454465e-06,0.0004981625511740836
