Date,bitcoin,prediccion_f2v1n4e20
2018-04-28,9348.48,7831.0137
2018-04-29,9419.08,7449.923
2018-04-30,9240.55,7824.824
2018-05-01,9119.01,7744.0195
2018-05-02,9235.92,7540.2905
2018-05-03,9743.86,7448.3486
2018-05-04,9700.76,7557.4043
2018-05-05,9858.15,8116.3545
2018-05-06,9654.8,7910.5396
2018-05-07,9373.01,7990.949
2018-05-08,9234.82,8082.1304
2018-05-09,9325.18,7703.5557
2018-05-10,9043.94,7654.6387
2018-05-11,8441.49,7877.403
2018-05-12,8504.89,7271.3345
2018-05-13,8723.94,7310.181
2018-05-14,8716.79,7203.9355
2018-05-15,8510.38,7479.464
2018-05-16,8368.83,7580.346
2018-05-17,8094.32,7403.7983
2018-05-18,8250.97,7053.0483
2018-05-19,8247.18,7103.5566
2018-05-20,8513.25,7274.0596
2018-05-21,8418.99,7117.7886
2018-05-22,8041.78,7303.8335
2018-05-23,7557.82,7085.84
2018-05-24,7587.34,6382.1455
2018-05-25,7480.14,5881.445
