Date,bitcoin,prediccion_f5v7n2e20
2018-05-07,9373.01,10422.938
2018-05-08,9234.82,10617.887
2018-05-09,9325.18,10657.691
2018-05-10,9043.94,10688.944
2018-05-11,8441.49,10543.931
2018-05-12,8504.89,10345.655
2018-05-13,8723.94,10133.531
2018-05-14,8716.79,9971.208
2018-05-15,8510.38,9849.235
2018-05-16,8368.83,9298.171
2018-05-17,8094.32,9048.487
2018-05-18,8250.97,9088.062
2018-05-19,8247.18,9146.338
2018-05-20,8513.25,9059.549
2018-05-21,8418.99,8980.707
2018-05-22,8041.78,8660.581
2018-05-23,7557.82,8619.178
2018-05-24,7587.34,8604.302
2018-05-25,7480.14,8694.841
