f5v7n2e20_loss,f5v7n2e20val_loss
0.4330795717176139,0.5688247221909212
0.25243490813818786,0.3090349064114388
0.140069983528809,0.14416801653216393
0.08025660167219098,0.0683990383332365
0.051686266528691696,0.03363512508738577
0.04062575009677421,0.015349229651220729
0.03471280142434626,0.009187964510612106
0.03111128159837281,0.007395435102399062
0.027429225801540273,0.007154646714144711
0.024877059671843168,0.007019049289186349
0.022843184750446856,0.005887628530330035
0.01979602552967057,0.006173228924790544
0.018330239261655244,0.0064206791314390605
0.016947430077691183,0.006663448092255616
0.01523508547553737,0.0070611665292193045
0.01423753128652674,0.007680990506915815
0.012877766233898233,0.007951811434742943
0.012458414193565477,0.0072373630520835355
0.011453004442000385,0.007958831630511146
0.010890734215225007,0.010083312190954019
