Date,bitcoin,prediccion_f5v1n4e20
2018-05-01,9119.01,8385.501
2018-05-02,9235.92,8057.4707
2018-05-03,9743.86,8351.202
2018-05-04,9700.76,8308.312
2018-05-05,9858.15,8129.378
2018-05-06,9654.8,8123.596
2018-05-07,9373.01,8220.667
2018-05-08,9234.82,8708.757
2018-05-09,9325.18,8672.726
2018-05-10,9043.94,8871.169
2018-05-11,8441.49,8964.817
2018-05-12,8504.89,8602.119
2018-05-13,8723.94,8481.707
2018-05-14,8716.79,8499.874
2018-05-15,8510.38,8025.256
2018-05-16,8368.83,7837.034
2018-05-17,8094.32,7840.5244
2018-05-18,8250.97,8051.655
2018-05-19,8247.18,8146.3745
2018-05-20,8513.25,7977.874
2018-05-21,8418.99,7786.78
2018-05-22,8041.78,7706.716
2018-05-23,7557.82,7882.916
2018-05-24,7587.34,7769.1167
2018-05-25,7480.14,7924.2925
