Date,bitcoin,prediccion_f7v5n2e20
2018-05-07,9373.01,9518.412
2018-05-08,9234.82,9513.342
2018-05-09,9325.18,9609.961
2018-05-10,9043.94,9804.643
2018-05-11,8441.49,9886.112
2018-05-12,8504.89,10071.789
2018-05-13,8723.94,10083.865
2018-05-14,8716.79,9973.947
2018-05-15,8510.38,9834.195
2018-05-16,8368.83,9760.574
2018-05-17,8094.32,9623.2705
2018-05-18,8250.97,9254.541
2018-05-19,8247.18,9306.102
2018-05-20,8513.25,9463.6045
2018-05-21,8418.99,9519.155
2018-05-22,8041.78,9404.71
2018-05-23,7557.82,9378.506
2018-05-24,7587.34,9169.378
2018-05-25,7480.14,9250.277
