Date,bitcoin,prediccion_f1v7n2e20
2018-05-03,9743.86,11058.68
2018-05-04,9700.76,11215.555
2018-05-05,9858.15,11255.915
2018-05-06,9654.8,11370.307
2018-05-07,9373.01,11434.592
2018-05-08,9234.82,11316.371
2018-05-09,9325.18,11191.417
2018-05-10,9043.94,11120.099
2018-05-11,8441.49,10952.326
2018-05-12,8504.89,10588.134
2018-05-13,8723.94,10560.245
2018-05-14,8716.79,10624.966
2018-05-15,8510.38,10651.564
2018-05-16,8368.83,10539.363
2018-05-17,8094.32,10479.622
2018-05-18,8250.97,10312.828
2018-05-19,8247.18,10402.634
2018-05-20,8513.25,10366.549
2018-05-21,8418.99,10450.333
2018-05-22,8041.78,10390.196
2018-05-23,7557.82,10154.363
2018-05-24,7587.34,9901.537
2018-05-25,7480.14,9873.3
