Date,bitcoin,prediccion_f7v5n2e20
2018-05-07,9373.01,7120.059
2018-05-08,9234.82,7131.6006
2018-05-09,9325.18,7193.0757
2018-05-10,9043.94,7398.4087
2018-05-11,8441.49,7508.335
2018-05-12,8504.89,7645.1787
2018-05-13,8723.94,7637.8438
2018-05-14,8716.79,7539.875
2018-05-15,8510.38,7474.374
2018-05-16,8368.83,7438.193
2018-05-17,8094.32,7300.161
2018-05-18,8250.97,7137.2593
2018-05-19,8247.18,7056.617
2018-05-20,8513.25,7114.085
2018-05-21,8418.99,7137.3857
2018-05-22,8041.78,7048.06
2018-05-23,7557.82,7030.9497
2018-05-24,7587.34,6931.936
2018-05-25,7480.14,6883.253
