Date,bitcoin,prediccion_f1v1n2e20
2018-04-27,8987.05,9595.997
2018-04-28,9348.48,9194.744
2018-04-29,9419.08,9672.576
2018-04-30,9240.55,9699.831
2018-05-01,9119.01,9312.394
2018-05-02,9235.92,9263.518
2018-05-03,9743.86,9512.512
2018-05-04,9700.76,9907.337
2018-05-05,9858.15,9730.723
2018-05-06,9654.8,9866.07
2018-05-07,9373.01,9759.054
2018-05-08,9234.82,9354.2
2018-05-09,9325.18,9055.232
2018-05-10,9043.94,8992.155
2018-05-11,8441.49,8628.186
2018-05-12,8504.89,7711.52
2018-05-13,8723.94,7911.2607
2018-05-14,8716.79,8329.344
2018-05-15,8510.38,8431.102
2018-05-16,8368.83,8148.5005
2018-05-17,8094.32,8007.7476
2018-05-18,8250.97,7539.0127
2018-05-19,8247.18,7904.3877
2018-05-20,8513.25,7801.59
2018-05-21,8418.99,8067.041
2018-05-22,8041.78,7899.99
2018-05-23,7557.82,7246.5786
2018-05-24,7587.34,6758.102
2018-05-25,7480.14,6880.2905
