,f7v2n2e20_loss,f7v2n2e20_val_loss
0,0.3727445730141231,1.3684770107269286
1,0.3295639434031078,1.2695708990097045
2,0.29362447772707256,1.175396203994751
3,0.259499046419348,1.0911997318267823
4,0.22786942975861685,1.0182417392730714
5,0.20082893861191614,0.9513116717338562
6,0.17823019570537976,0.8895918369293213
7,0.1558281114058835,0.8393575310707092
8,0.13884479871817998,0.7912781476974488
9,0.12265959648149354,0.7477039456367492
10,0.10937895120254584,0.7075052618980407
11,0.09722560883632728,0.6711420297622681
12,0.08573389851621219,0.6395290613174438
13,0.0766646530745285,0.6098479688167572
14,0.06766001148415464,0.583865886926651
15,0.06090667737381799,0.558912193775177
16,0.054296757094562054,0.5373005270957947
17,0.04859876612733517,0.5165508270263672
18,0.044145702717027495,0.4961186110973358
19,0.03935103164985776,0.4785901725292206
