,f1v2n4e30_loss,f1v2n4e30_val_loss
0,0.08174126944504678,0.5733462646603584
1,0.07337047592418236,0.53603295981884
2,0.06534632089416136,0.5075397342443466
3,0.059611179572462654,0.47935717925429344
4,0.05428741234723797,0.4559246227145195
5,0.05008894561278129,0.43143824115395546
6,0.04677002957458438,0.40946268662810326
7,0.043572389789737716,0.3924386017024517
8,0.041156038423295974,0.3728155717253685
9,0.038555892468316526,0.35756584629416466
10,0.036903513821193994,0.3426198810338974
11,0.03526774766321135,0.3290695287287235
12,0.03378733693197563,0.317340724170208
13,0.03268371622231448,0.30347972363233566
14,0.03143688782953044,0.2918176520615816
15,0.030670458245057066,0.2769336085766554
16,0.030103433918400962,0.26658609323203564
17,0.02899107527237658,0.2586624212563038
18,0.028369361039239732,0.25129184871912
19,0.028033865783250005,0.2407841831445694
20,0.027329229663137528,0.23163612559437752
21,0.026775695475829173,0.22729727812111378
22,0.026409119373278285,0.21741297468543053
23,0.025708866801124247,0.2117955181747675
24,0.025222352547599455,0.20368610695004463
25,0.024800328398691264,0.19666828587651253
26,0.024293378142429878,0.19073603488504887
27,0.023734194413963253,0.18685793969780207
28,0.02335050485732897,0.18067220225930214
29,0.022660843881057213,0.17860158812254667
