Date,bitcoin,prediccion_f5v7n4e20
2018-05-07,9373.01,7146.155
2018-05-08,9234.82,7305.8315
2018-05-09,9325.18,7374.7197
2018-05-10,9043.94,7461.261
2018-05-11,8441.49,7518.3965
2018-05-12,8504.89,7435.577
2018-05-13,8723.94,7320.2925
2018-05-14,8716.79,7063.5996
2018-05-15,8510.38,6842.578
2018-05-16,8368.83,6235.1855
2018-05-17,8094.32,5749.834
2018-05-18,8250.97,5312.041
2018-05-19,8247.18,4870.751
2018-05-20,8513.25,4552.7344
2018-05-21,8418.99,4444.353
2018-05-22,8041.78,4119.944
2018-05-23,7557.82,4167.0312
2018-05-24,7587.34,4107.288
2018-05-25,7480.14,4080.562
