Date,bitcoin,prediccion_f5v2n2e20
2018-05-02,9235.92,6059.103
2018-05-03,9743.86,6092.531
2018-05-04,9700.76,6216.8315
2018-05-05,9858.15,6161.2515
2018-05-06,9654.8,6075.4336
2018-05-07,9373.01,6051.7075
2018-05-08,9234.82,6334.1387
2018-05-09,9325.18,6402.4434
2018-05-10,9043.94,6360.617
2018-05-11,8441.49,6382.928
2018-05-12,8504.89,6165.5
2018-05-13,8723.94,6064.387
2018-05-14,8716.79,6206.442
2018-05-15,8510.38,5979.016
2018-05-16,8368.83,5920.8037
2018-05-17,8094.32,6045.8687
2018-05-18,8250.97,6062.91
2018-05-19,8247.18,6187.867
2018-05-20,8513.25,6229.373
2018-05-21,8418.99,6030.823
2018-05-22,8041.78,5946.834
2018-05-23,7557.82,6036.234
2018-05-24,7587.34,5955.4795
2018-05-25,7480.14,5973.3564
