Date,bitcoin,prediccion_f2v5n2e20
2018-05-02,9235.92,7360.743
2018-05-03,9743.86,7267.4
2018-05-04,9700.76,7299.9683
2018-05-05,9858.15,7429.681
2018-05-06,9654.8,7397.6133
2018-05-07,9373.01,7507.083
2018-05-08,9234.82,7633.2754
2018-05-09,9325.18,7449.664
2018-05-10,9043.94,7311.5186
2018-05-11,8441.49,7231.129
2018-05-12,8504.89,6830.351
2018-05-13,8723.94,6646.0303
2018-05-14,8716.79,6526.1963
2018-05-15,8510.38,6530.0938
2018-05-16,8368.83,6556.249
2018-05-17,8094.32,6517.6196
2018-05-18,8250.97,6408.6226
2018-05-19,8247.18,6396.589
2018-05-20,8513.25,6464.4604
2018-05-21,8418.99,6362.748
2018-05-22,8041.78,6408.553
2018-05-23,7557.82,6289.5664
2018-05-24,7587.34,5955.8384
2018-05-25,7480.14,5653.827
