Simulacion,Epochs (1),Epochs (2),Epochs (3)
Trends trend_bitcoin,44,136,266
Trends trend_ethereum,300,91,65
Trends trend_ripple,50,45,32
Trends trend_dash,136,239,73
Trends trend_litecoin,59,54,33
Trends trend_monero,68,93,102
Trends trend_ethereum-classic,56,55,55
Trends trend_nem,139,167,60
Trends trend_augur,48,72,59
