Simulacion,Epochs (1),Epochs (2),Epochs (3)
Neuronas_n512,21,21,21
CombinacionCriptos_n512,55,51,195
CombinacionStocksIndex_n512,44,224,124
CombinacionStocksEmpresas_n512,107,171,141
CombinacionTrends_n512,149,207,88
