Simulacion,RMSE (1),RMSE (2),RMSE (3),RMSE (General)
Trends trend_bitcoin,325.6277900020149,470.5885029487675,1126.7235292663133,729.6101488995099
Trends trend_ethereum,122.57619776357478,485.7124355765782,296.0028733876717,335.93610274657124
Trends trend_ripple,185.32635162558063,463.3973503758501,338.83518760266276,348.2777843905343
Trends trend_dash,133.89416807504472,512.6963896105929,271.0968131866063,343.6464841879315
Trends trend_litecoin,181.98101978985798,470.2510753243348,1165.6258295971854,733.2431929520557
Trends trend_monero,171.56678283996786,480.2452471317473,260.69137804242337,330.67136402191807
Trends trend_ethereum-classic,161.7428005167443,478.3869113756792,293.8263689870272,337.3172125298193
Trends trend_nem,142.6343886422988,494.81363899574853,257.9228288468222,332.5203210832507
Trends trend_augur,199.82855191894885,472.74553909779974,303.50963242493543,344.25663483008947
