Simulacion,Epochs (1),Epochs (2),Epochs (3)
Ventana grande_v10,23,18,24
Ventana grande_v13,23,35,38
Ventana grande_v15,24,26,27
Ventana grande_v21,26,25,36
Ventana grande_v50,34,59,23
