Date,bitcoin,prediccion_f7v2n4e20
2018-05-04,9700.76,7295.1177
2018-05-05,9858.15,7439.364
2018-05-06,9654.8,7484.32
2018-05-07,9373.01,7364.2764
2018-05-08,9234.82,7321.303
2018-05-09,9325.18,7393.124
2018-05-10,9043.94,7586.7393
2018-05-11,8441.49,7582.199
2018-05-12,8504.89,7654.215
2018-05-13,8723.94,7682.2324
2018-05-14,8716.79,7502.703
2018-05-15,8510.38,7369.606
2018-05-16,8368.83,7324.5723
2018-05-17,8094.32,7112.5503
2018-05-18,8250.97,6861.0347
2018-05-19,8247.18,6806.4233
2018-05-20,8513.25,6974.808
2018-05-21,8418.99,7051.893
2018-05-22,8041.78,6935.453
2018-05-23,7557.82,6826.322
2018-05-24,7587.34,6705.4585
2018-05-25,7480.14,6743.8784
