Date,bitcoin,prediccion_f2v5n2e20
2018-05-02,9235.92,10184.07
2018-05-03,9743.86,10182.165
2018-05-04,9700.76,10286.082
2018-05-05,9858.15,10460.564
2018-05-06,9654.8,10610.988
2018-05-07,9373.01,10839.282
2018-05-08,9234.82,10937.63
2018-05-09,9325.18,10892.218
2018-05-10,9043.94,10716.726
2018-05-11,8441.49,10484.66
2018-05-12,8504.89,10132.294
2018-05-13,8723.94,9367.729
2018-05-14,8716.79,8896.583
2018-05-15,8510.38,8633.936
2018-05-16,8368.83,8501.335
2018-05-17,8094.32,8302.78
2018-05-18,8250.97,8324.979
2018-05-19,8247.18,8071.341
2018-05-20,8513.25,7943.155
2018-05-21,8418.99,7815.387
2018-05-22,8041.78,7843.595
2018-05-23,7557.82,7802.2734
2018-05-24,7587.34,7743.395
2018-05-25,7480.14,7468.033
